20250318-230734<DEBUG:000056DC>: nSocket = 916, nSendFlag = 0, Error = 10054
20250318-230734<DEBUG:00005494>: nSocket = 916, nSendFlag = 1, Error = 10054
20250318-230735<DEBUG:00001BF4>: nSocket = 972, nSendFlag = 0, Error = 10054
20250318-230735<DEBUG:00005494>: nSocket = 972, nSendFlag = 1, Error = 10054
20250318-230735<DEBUG:00003BF8>: nSocket = 944, nSendFlag = 0, Error = 10054
20250318-230735<DEBUG:00005494>: nSocket = 944, nSendFlag = 1, Error = 10054
20250318-230735<DEBUG:00005A10>: nSocket = 888, nSendFlag = 0, Error = 10054
20250318-230735<DEBUG:00005494>: nSocket = 888, nSendFlag = 1, Error = 10054
20250318-230736<DEBUG:00005A08>: nSocket = 860, nSendFlag = 0, Error = 10054
20250318-230736<DEBUG:00005494>: nSocket = 860, nSendFlag = 1, Error = 10054
20250318-230736<DEBUG:00003128>: nSocket = 832, nSendFlag = 0, Error = 10054
20250318-230736<DEBUG:00005494>: nSocket = 832, nSendFlag = 1, Error = 10054
20250318-230736<DEBUG:00005BF4>: nSocket = 804, nSendFlag = 0, Error = 10054
20250318-230736<DEBUG:00005494>: nSocket = 804, nSendFlag = 1, Error = 10054
20250318-231631<DEBUG:00005588>: nSocket = 988, nSendFlag = 0, Error = 10054
20250318-231631<DEBUG:00005494>: nSocket = 988, nSendFlag = 1, Error = 10054
20250318-231631<DEBUG:000046D4>: nSocket = 1044, nSendFlag = 0, Error = 10054
20250318-231631<DEBUG:00005494>: nSocket = 1044, nSendFlag = 1, Error = 10054
20250318-231631<DEBUG:0000496C>: nSocket = 868, nSendFlag = 0, Error = 10054
20250318-231631<DEBUG:00005494>: nSocket = 868, nSendFlag = 1, Error = 10054
20250318-231631<DEBUG:00004314>: nSocket = 936, nSendFlag = 0, Error = 10054
20250318-231631<DEBUG:00005494>: nSocket = 936, nSendFlag = 1, Error = 10054
20250318-231632<DEBUG:00001F04>: nSocket = 812, nSendFlag = 0, Error = 10054
20250318-231632<DEBUG:00005494>: nSocket = 812, nSendFlag = 1, Error = 10054
20250318-231632<DEBUG:00005828>: nSocket = 928, nSendFlag = 0, Error = 10054
20250318-231632<DEBUG:00005494>: nSocket = 928, nSendFlag = 1, Error = 10054
20250318-231632<DEBUG:000055A0>: nSocket = 940, nSendFlag = 0, Error = 10054
20250318-231632<DEBUG:00005494>: nSocket = 940, nSendFlag = 1, Error = 10054
