20250322-161747<DEBUG:000056E8>: nSocket = 916, nSendFlag = 0, Error = 10054
20250322-161747<DEBUG:000016D8>: nSocket = 916, nSendFlag = 1, Error = 10054
20250322-161747<DEBUG:00002448>: nSocket = 972, nSendFlag = 0, Error = 10054
20250322-161747<DEBUG:000016D8>: nSocket = 972, nSendFlag = 1, Error = 10054
20250322-161747<DEBUG:000097C4>: nSocket = 944, nSendFlag = 0, Error = 10054
20250322-161747<DEBUG:000016D8>: nSocket = 944, nSendFlag = 1, Error = 10054
20250322-161748<DEBUG:00007D98>: nSocket = 888, nSendFlag = 0, Error = 10054
20250322-161748<DEBUG:000016D8>: nSocket = 888, nSendFlag = 1, Error = 10054
20250322-161748<DEBUG:00007574>: nSocket = 860, nSendFlag = 0, Error = 10054
20250322-161748<DEBUG:000016D8>: nSocket = 860, nSendFlag = 1, Error = 10054
20250322-161748<DEBUG:00004050>: nSocket = 832, nSendFlag = 0, Error = 10054
20250322-161748<DEBUG:000016D8>: nSocket = 832, nSendFlag = 1, Error = 10054
20250322-161748<DEBUG:00004024>: nSocket = 804, nSendFlag = 0, Error = 10054
20250322-161748<DEBUG:000016D8>: nSocket = 804, nSendFlag = 1, Error = 10054
