20250717-043641<DEBUG:00003EA0>: nSocket = 904, nSendFlag = 0, Error = 10054
20250717-043641<DEBUG:00003B04>: nSocket = 904, nSendFlag = 1, Error = 10054
20250717-043641<DEBUG:00003EC0>: nSocket = 956, nSendFlag = 0, Error = 10054
20250717-043641<DEBUG:00003B04>: nSocket = 956, nSendFlag = 1, Error = 10054
20250717-043641<DEBUG:00003EF0>: nSocket = 1032, nSendFlag = 0, Error = 10054
20250717-043641<DEBUG:00003B04>: nSocket = 1032, nSendFlag = 1, Error = 10054
20250717-043641<DEBUG:00003EE4>: nSocket = 1012, nSendFlag = 0, Error = 10054
20250717-043641<DEBUG:00003B04>: nSocket = 1012, nSendFlag = 1, Error = 10054
20250717-043642<DEBUG:00003ED4>: nSocket = 984, nSendFlag = 0, Error = 10054
20250717-043642<DEBUG:00003B04>: nSocket = 984, nSendFlag = 1, Error = 10054
20250717-043642<DEBUG:00003E74>: nSocket = 848, nSendFlag = 0, Error = 10054
20250717-043642<DEBUG:00003B04>: nSocket = 848, nSendFlag = 1, Error = 10054
20250717-043642<DEBUG:00003EB4>: nSocket = 928, nSendFlag = 0, Error = 10054
20250717-043642<DEBUG:00003B04>: nSocket = 928, nSendFlag = 1, Error = 10054
20250717-043643<DEBUG:00003E90>: nSocket = 876, nSendFlag = 0, Error = 10054
20250717-043643<DEBUG:00003B04>: nSocket = 876, nSendFlag = 1, Error = 10054
20250717-043823<DEBUG:00003FAC>: nSocket = 992, nSendFlag = 0, Error = 10054
20250717-043823<DEBUG:00003B04>: nSocket = 992, nSendFlag = 1, Error = 10054
20250717-044046<DEBUG:00002824>: nSocket = 972, nSendFlag = 0, Error = 10054
20250717-044046<DEBUG:00003B04>: nSocket = 972, nSendFlag = 1, Error = 10054
20250717-044417<DEBUG:000041F8>: nSocket = 1116, nSendFlag = 0, Error = 10054
20250717-044417<DEBUG:00003B04>: nSocket = 1116, nSendFlag = 1, Error = 10054
20250717-050923<DEBUG:00003B04>: nSocket = 720, nSendFlag = 0, Error = 10054
