20250717-051731<DEBUG:0000489C>: nSocket = 668, nSendFlag = 0, Error = 10054
20250717-051731<DEBUG:000047FC>: nSocket = 668, nSendFlag = 1, Error = 10054
20250717-051731<DEBUG:0000485C>: nSocket = 932, nSendFlag = 0, Error = 10054
20250717-051731<DEBUG:000047FC>: nSocket = 932, nSendFlag = 1, Error = 10054
20250717-051732<DEBUG:00004810>: nSocket = 868, nSendFlag = 0, Error = 10054
20250717-051732<DEBUG:000047FC>: nSocket = 868, nSendFlag = 1, Error = 10054
20250717-051732<DEBUG:000048DC>: nSocket = 1008, nSendFlag = 0, Error = 10054
20250717-051732<DEBUG:000047FC>: nSocket = 1008, nSendFlag = 1, Error = 10054
20250717-051732<DEBUG:00004958>: nSocket = 944, nSendFlag = 0, Error = 10054
20250717-051732<DEBUG:000047FC>: nSocket = 944, nSendFlag = 1, Error = 10054
20250717-051733<DEBUG:000047FC>: nSocket = 720, nSendFlag = 0, Error = 10054
