20250718-192858<DEBUG:00004B18>: nSocket = 988, nSendFlag = 0, Error = 10054
20250718-192858<DEBUG:000047FC>: nSocket = 988, nSendFlag = 1, Error = 10054
20250718-192858<DEBUG:00004AFC>: nSocket = 960, nSendFlag = 0, Error = 10054
20250718-192858<DEBUG:000047FC>: nSocket = 960, nSendFlag = 1, Error = 10054
20250718-192858<DEBUG:00004AF4>: nSocket = 932, nSendFlag = 0, Error = 10054
20250718-192858<DEBUG:000047FC>: nSocket = 932, nSendFlag = 1, Error = 10054
20250718-192859<DEBUG:00004AD8>: nSocket = 904, nSendFlag = 0, Error = 10054
20250718-192859<DEBUG:000047FC>: nSocket = 904, nSendFlag = 1, Error = 10054
20250718-192859<DEBUG:00004AC4>: nSocket = 876, nSendFlag = 0, Error = 10054
20250718-192859<DEBUG:000047FC>: nSocket = 876, nSendFlag = 1, Error = 10054
20250718-192859<DEBUG:00004AB8>: nSocket = 848, nSendFlag = 0, Error = 10054
20250718-192859<DEBUG:000047FC>: nSocket = 848, nSendFlag = 1, Error = 10054
20250718-192900<DEBUG:00004A9C>: nSocket = 820, nSendFlag = 0, Error = 10054
20250718-192900<DEBUG:000047FC>: nSocket = 820, nSendFlag = 1, Error = 10054
