20250718-193306<DEBUG:00003808>: nSocket = 916, nSendFlag = 0, Error = 10054
20250718-193306<DEBUG:00004C34>: nSocket = 916, nSendFlag = 1, Error = 10054
20250718-193306<DEBUG:000051F4>: nSocket = 972, nSendFlag = 0, Error = 10054
20250718-193306<DEBUG:00004C34>: nSocket = 972, nSendFlag = 1, Error = 10054
20250718-193307<DEBUG:00000858>: nSocket = 944, nSendFlag = 0, Error = 10054
20250718-193307<DEBUG:00004C34>: nSocket = 944, nSendFlag = 1, Error = 10054
20250718-193307<DEBUG:00002CC4>: nSocket = 888, nSendFlag = 0, Error = 10054
20250718-193307<DEBUG:00004C34>: nSocket = 888, nSendFlag = 1, Error = 10054
20250718-193307<DEBUG:00005080>: nSocket = 860, nSendFlag = 0, Error = 10054
20250718-193307<DEBUG:00004C34>: nSocket = 860, nSendFlag = 1, Error = 10054
20250718-193308<DEBUG:00003814>: nSocket = 832, nSendFlag = 0, Error = 10054
20250718-193308<DEBUG:00004C34>: nSocket = 832, nSendFlag = 1, Error = 10054
20250718-193308<DEBUG:000015D0>: nSocket = 804, nSendFlag = 0, Error = 10054
20250718-193308<DEBUG:00004C34>: nSocket = 804, nSendFlag = 1, Error = 10054
