20250720-000000<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494, start tickers = 906344438488037
20250720-000000<DEBUG:000032A4>: [RefreshTotalLadderData]:1495, start tickers = 906344439872167
20250720-000000<DEBUG:000032A4>: [RefreshTotalLadderData]:1495->[RefreshTotalLadderData]:1497 timeout, tickers = 294996
20250720-000000<DEBUG:000032A4>: [ProcessTotalLadderData]:1499, start tickers = 906344440919493
20250720-000000<DEBUG:000032A4>: [ProcessTotalLadderData]:1520, start tickers = 906344441282925
20250720-000000<DEBUG:000032A4>: [ProcessTotalLadderData]:1520->[ProcessTotalLadderData]:1527 timeout, tickers = 7252
20250720-000000<DEBUG:000032A4>: [ProcessTotalLadderData]:1499->[ProcessTotalLadderData]:1501 timeout, tickers = 639968
20250720-000000<DEBUG:000032A4>: [AdjustTotalLadder]:1503, start tickers = 906344442558676
20250720-000000<DEBUG:000032A4>: [AdjustTotalLadder]:1503->[AdjustTotalLadder]:1505 timeout, tickers = 1708
20250720-000000<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494->[KGC_LadderManager::UpdateTotalLadder]:1511 timeout, tickers = 3674888
20250720-000100<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494, start tickers = 906567471262625
20250720-000100<DEBUG:000032A4>: [RefreshTotalLadderData]:1495, start tickers = 906567471982747
20250720-000100<DEBUG:000032A4>: [RefreshTotalLadderData]:1495->[RefreshTotalLadderData]:1497 timeout, tickers = 837110
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1499, start tickers = 906567474434359
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1520, start tickers = 906567475168721
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1520->[ProcessTotalLadderData]:1527 timeout, tickers = 18896
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1499->[ProcessTotalLadderData]:1501 timeout, tickers = 576420
20250720-000100<DEBUG:000032A4>: [AdjustTotalLadder]:1503, start tickers = 906567476091393
20250720-000100<DEBUG:000032A4>: [AdjustTotalLadder]:1503->[AdjustTotalLadder]:1505 timeout, tickers = 2718474
20250720-000100<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494->[KGC_LadderManager::UpdateTotalLadder]:1511 timeout, tickers = 7845142
20250720-000100<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494, start tickers = 906567503767405
20250720-000100<DEBUG:000032A4>: [RefreshTotalLadderData]:1495, start tickers = 906567504235683
20250720-000100<DEBUG:000032A4>: [RefreshTotalLadderData]:1495->[RefreshTotalLadderData]:1497 timeout, tickers = 620864
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1499, start tickers = 906567506042019
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1520, start tickers = 906567506633283
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1520->[ProcessTotalLadderData]:1527 timeout, tickers = 9318
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1499->[ProcessTotalLadderData]:1501 timeout, tickers = 1152027
20250720-000100<DEBUG:000032A4>: [AdjustTotalLadder]:1503, start tickers = 906567508531985
20250720-000100<DEBUG:000032A4>: [AdjustTotalLadder]:1503->[AdjustTotalLadder]:1505 timeout, tickers = 1973326
20250720-000100<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494->[KGC_LadderManager::UpdateTotalLadder]:1511 timeout, tickers = 8019937
20250720-000100<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494, start tickers = 906567515412431
20250720-000100<DEBUG:000032A4>: [RefreshTotalLadderData]:1495, start tickers = 906567515611461
20250720-000100<DEBUG:000032A4>: [RefreshTotalLadderData]:1495->[RefreshTotalLadderData]:1497 timeout, tickers = 343136
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1499, start tickers = 906567516575195
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1520, start tickers = 906567516893719
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1520->[ProcessTotalLadderData]:1527 timeout, tickers = 3558
20250720-000100<DEBUG:000032A4>: [ProcessTotalLadderData]:1499->[ProcessTotalLadderData]:1501 timeout, tickers = 637726
20250720-000100<DEBUG:000032A4>: [AdjustTotalLadder]:1503, start tickers = 906567517856115
20250720-000100<DEBUG:000032A4>: [AdjustTotalLadder]:1503->[AdjustTotalLadder]:1505 timeout, tickers = 1458
20250720-000100<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494->[KGC_LadderManager::UpdateTotalLadder]:1511 timeout, tickers = 3357730
20250720-000200<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494, start tickers = 906790419319628
20250720-000200<DEBUG:000032A4>: [RefreshTotalLadderData]:1495, start tickers = 906790420825857
20250720-000200<DEBUG:000032A4>: [RefreshTotalLadderData]:1495->[RefreshTotalLadderData]:1497 timeout, tickers = 1056646
20250720-000200<DEBUG:000032A4>: [ProcessTotalLadderData]:1499, start tickers = 906790423589457
20250720-000200<DEBUG:000032A4>: [ProcessTotalLadderData]:1520, start tickers = 906790424450003
20250720-000200<DEBUG:000032A4>: [ProcessTotalLadderData]:1520->[ProcessTotalLadderData]:1527 timeout, tickers = 40892
20250720-000200<DEBUG:000032A4>: [ProcessTotalLadderData]:1499->[ProcessTotalLadderData]:1501 timeout, tickers = 1571898
20250720-000200<DEBUG:000032A4>: [AdjustTotalLadder]:1503, start tickers = 906790426486709
20250720-000200<DEBUG:000032A4>: [AdjustTotalLadder]:1503->[AdjustTotalLadder]:1505 timeout, tickers = 3803268
20250720-000200<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494->[KGC_LadderManager::UpdateTotalLadder]:1511 timeout, tickers = 11430867
20250720-030001<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494, start tickers = 946267385662839
20250720-030001<DEBUG:000032A4>: [RefreshTotalLadderData]:1495, start tickers = 946267386366709
20250720-030001<DEBUG:000032A4>: [RefreshTotalLadderData]:1495->[RefreshTotalLadderData]:1497 timeout, tickers = 625808
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1499, start tickers = 946267388415363
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1520, start tickers = 946267388986091
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1520->[ProcessTotalLadderData]:1527 timeout, tickers = 16466
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1499->[ProcessTotalLadderData]:1501 timeout, tickers = 978860
20250720-030001<DEBUG:000032A4>: [AdjustTotalLadder]:1503, start tickers = 946267390315191
20250720-030001<DEBUG:000032A4>: [AdjustTotalLadder]:1503->[AdjustTotalLadder]:1505 timeout, tickers = 1998862
20250720-030001<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494->[KGC_LadderManager::UpdateTotalLadder]:1511 timeout, tickers = 7225810
20250720-030001<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494, start tickers = 946267415027009
20250720-030001<DEBUG:000032A4>: [RefreshTotalLadderData]:1495, start tickers = 946267415667497
20250720-030001<DEBUG:000032A4>: [RefreshTotalLadderData]:1495->[RefreshTotalLadderData]:1497 timeout, tickers = 645228
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1499, start tickers = 946267417601503
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1520, start tickers = 946267418230381
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1520->[ProcessTotalLadderData]:1527 timeout, tickers = 8710
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1499->[ProcessTotalLadderData]:1501 timeout, tickers = 828018
20250720-030001<DEBUG:000032A4>: [AdjustTotalLadder]:1503, start tickers = 946267419363613
20250720-030001<DEBUG:000032A4>: [AdjustTotalLadder]:1503->[AdjustTotalLadder]:1505 timeout, tickers = 1459092
20250720-030001<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494->[KGC_LadderManager::UpdateTotalLadder]:1511 timeout, tickers = 6502940
20250720-030001<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494, start tickers = 946267424084925
20250720-030001<DEBUG:000032A4>: [RefreshTotalLadderData]:1495, start tickers = 946267424240829
20250720-030001<DEBUG:000032A4>: [RefreshTotalLadderData]:1495->[RefreshTotalLadderData]:1497 timeout, tickers = 309332
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1499, start tickers = 946267425157741
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1520, start tickers = 946267425455195
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1520->[ProcessTotalLadderData]:1527 timeout, tickers = 4200
20250720-030001<DEBUG:000032A4>: [ProcessTotalLadderData]:1499->[ProcessTotalLadderData]:1501 timeout, tickers = 617590
20250720-030001<DEBUG:000032A4>: [AdjustTotalLadder]:1503, start tickers = 946267426381655
20250720-030001<DEBUG:000032A4>: [AdjustTotalLadder]:1503->[AdjustTotalLadder]:1505 timeout, tickers = 1412
20250720-030001<DEBUG:000032A4>: [KGC_LadderManager::UpdateTotalLadder]:1494->[KGC_LadderManager::UpdateTotalLadder]:1511 timeout, tickers = 3063622
