20250724-171339<DEBUG:00003EE4>: nSocket = 1000, nSendFlag = 0, Error = 10054
20250724-171339<DEBUG:00003CA8>: nSocket = 1000, nSendFlag = 1, Error = 10054
20250724-171339<DEBUG:00003DF8>: nSocket = 972, nSendFlag = 0, Error = 10054
20250724-171339<DEBUG:00003CA8>: nSocket = 972, nSendFlag = 1, Error = 10054
20250724-171339<DEBUG:00003E88>: nSocket = 944, nSendFlag = 0, Error = 10054
20250724-171339<DEBUG:00003CA8>: nSocket = 944, nSendFlag = 1, Error = 10054
20250724-171340<DEBUG:00003F6C>: nSocket = 916, nSendFlag = 0, Error = 10054
20250724-171340<DEBUG:00003CA8>: nSocket = 916, nSendFlag = 1, Error = 10054
20250724-171340<DEBUG:00003D78>: nSocket = 888, nSendFlag = 0, Error = 10054
20250724-171340<DEBUG:00003CA8>: nSocket = 888, nSendFlag = 1, Error = 10054
20250724-171340<DEBUG:00003FEC>: nSocket = 860, nSendFlag = 0, Error = 10054
20250724-171340<DEBUG:00003CA8>: nSocket = 860, nSendFlag = 1, Error = 10054
20250724-171341<DEBUG:00003FDC>: nSocket = 832, nSendFlag = 0, Error = 10054
20250724-171341<DEBUG:00003CA8>: nSocket = 832, nSendFlag = 1, Error = 10054
20250724-203641<DEBUG:000032E4>: nSocket = 1148, nSendFlag = 0, Error = 10054
20250724-203641<DEBUG:00003CA8>: nSocket = 1148, nSendFlag = 1, Error = 10054
20250724-203641<DEBUG:000043E8>: nSocket = 1120, nSendFlag = 0, Error = 10054
20250724-203641<DEBUG:00003CA8>: nSocket = 1120, nSendFlag = 1, Error = 10054
20250724-203641<DEBUG:000013F0>: nSocket = 952, nSendFlag = 0, Error = 10054
20250724-203641<DEBUG:00003CA8>: nSocket = 952, nSendFlag = 1, Error = 10054
20250724-203642<DEBUG:00002B2C>: nSocket = 956, nSendFlag = 0, Error = 10054
20250724-203642<DEBUG:00003CA8>: nSocket = 956, nSendFlag = 1, Error = 10054
20250724-203642<DEBUG:00001260>: nSocket = 960, nSendFlag = 0, Error = 10054
20250724-203642<DEBUG:00003CA8>: nSocket = 960, nSendFlag = 1, Error = 10054
20250724-203642<DEBUG:00003FDC>: nSocket = 868, nSendFlag = 0, Error = 10054
20250724-203642<DEBUG:00003CA8>: nSocket = 868, nSendFlag = 1, Error = 10054
20250724-203642<DEBUG:0000414C>: nSocket = 968, nSendFlag = 0, Error = 10054
20250724-203643<DEBUG:00003CA8>: nSocket = 968, nSendFlag = 1, Error = 10054
