TRAPX	TRAPY
2008	3416
2012	3420
2012	3411
2016	3415
2021	3413
2017	3406
2044	3382
2040	3388
2047	3387
2044	3394
2047	3399
2045	3459
2052	3393
2057	3450
2049	3453
2052	3445
2050	3464
2053	3457
2077	3358
2078	3369
2073	3364
2080	3350
2085	3355
2081	3362
2095	3416
2087	3419
2090	3411
2091	3423
2083	3425
2088	3430
2110	3327
2111	3338
2106	3333
2113	3319
2118	3324
2114	3331
2123	3385
2119	3391
2126	3377
2127	3389
2124	3396
2141	3300
2131	3382
2152	3292
2149	3300
2145	3306
2150	3311
2157	3297
2153	3304
2170	3342
2166	3348
2171	3353
2173	3334
2174	3346
2190	3261
2191	3273
2181	3274
2186	3269
2186	3279
2178	3339
2181	3350
2195	3266
2222	3228
2215	3242
2219	3236
2223	3240
2220	3247
2216	3318
2223	3304
2220	3312
2221	3323
2227	3233
2228	3309
2224	3316
2265	3276
2270	3281
2262	3284
2266	3288
2258	3290
2263	3295
