20250718-192944<DEBUG:00004688>: [PrevInitCore]:1, start tickers = 235421682276703
20250718-192946<DEBUG:00004688>: [PrevInitCore]:1->[PrevInitCore]:0 timeout, tickers = 4063456737
20250718-192947<ERROR:00004688>: GetInteger(38, 1) failed !
20250718-192949<WARN :00004688>: LostFps: 103 (+103)
20250718-192950<WARN :00004688>: LostFps: 59 (-44)
20250718-192951<WARN :00004688>: LostFps: 14 (-45)
20250718-192952<WARN :00004688>: LostFps: 0 (-14)
20250718-193218<WARN :00004688>: LostFps: 736 (+736)
20250718-193219<WARN :00004688>: LostFps: 690 (-46)
20250718-193220<WARN :00004688>: LostFps: 644 (-46)
20250718-193221<WARN :00004688>: LostFps: 597 (-47)
20250718-193222<WARN :00004688>: LostFps: 551 (-46)
20250718-193223<WARN :00004688>: LostFps: 504 (-47)
20250718-193224<WARN :00004688>: LostFps: 458 (-46)
20250718-193225<WARN :00004688>: LostFps: 411 (-47)
20250718-193226<WARN :00004688>: LostFps: 364 (-47)
20250718-193227<WARN :00004688>: LostFps: 318 (-46)
20250718-193228<WARN :00004688>: LostFps: 271 (-47)
20250718-193229<WARN :00004688>: LostFps: 225 (-46)
20250718-193230<WARN :00004688>: LostFps: 180 (-45)
20250718-193231<WARN :00004688>: LostFps: 134 (-46)
20250718-193232<WARN :00004688>: LostFps: 87 (-47)
20250718-193233<WARN :00004688>: LostFps: 41 (-46)
20250718-193234<WARN :00004688>: LostFps: 0 (-41)
20250718-193252<DEBUG:00004688>: KGLOG_PROCESS_ERROR(dwLockCode == m_dwLockCode) at line 3927 in KPlayer::UnlockAction
20250718-193800<DEBUG:00004688>: nSocket = 812, nSendFlag = 0, Error = 10054
