DATE	GOLD_ADD	GOLD_CONSUME	SILVER_ADD	SILVER_CONSUME	COIN_ADD	COIN_CONSUME	TICKET_ADD	TICKET_CONSUME
2025-07-16	0	0	0	0	0	0	0	0
2025-07-17	0	0	0	0	0	0	0	0
2025-07-18	0	0	0	0	0	0	0	0
2025-07-17	0	0	0	0	0	0	0	0
2025-07-18	0	0	0	0	0	0	0	0
2025-07-19	0	0	0	0	0	0	0	0
2025-07-18	0	0	0	0	0	0	0	0
2025-07-15	0	0	0	0	0	0	0	0
2025-07-18	0	0	0	0	0	0	0	0
2025-07-15	0	0	0	0	0	0	0	0
2025-07-18	0	0	0	0	0	0	0	0
2025-07-15	0	0	0	0	0	0	0	0
2025-07-18	0	0	0	0	0	0	0	0
2025-07-19	0	0	0	0	0	0	0	0
2025-07-20	0	0	0	0	0	0	0	0
2025-07-24	0	0	0	0	0	0	0	0
