Size(Byte)	Count	Max	Min	Id	Name
2	2	1	1	67	s2c_syncplayerend
100	2	50	50	68	s2c_synccurplayer
162668	14788	11	11	70	s2c_synccurplayernormal
170	5	34	34	73	s2c_syncworld
172	4	43	43	74	s2c_syncplayer
93226	13318	7	7	75	s2c_syncplayermin
22891	2081	11	11	76	s2c_syncplayermin2
2557	33	106	57	78	s2c_syncnpc
1330199	78247	17	17	79	s2c_syncnpcmin
52025	2081	25	25	80	s2c_syncnpcmin2
114534	12726	9	9	81	s2c_syncnpcminplayer
25	5	5	5	82	s2c_npcremove
168	8	21	21	83	s2c_npcwalk
1768	136	13	13	84	s2c_npcrun
80	16	5	5	88	s2c_lockcode
30	5	6	6	91	s2c_npcchgcurcamp
18	2	9	9	96	s2c_playerassignpotential
7796	78	120	97	98	s2c_syncitem
10	2	5	5	101	s2c_syncjbcoin
12883	36	788	17	103	s2c_playeruiscript
26605	1565	17	17	123	s2c_syncnpcstate
9	3	3	3	124	s2c_playerfactiondata
2	1	2	2	125	s2c_itemride
4	2	2	2	129	s2c_playerseries
305	61	5	5	130	s2c_ping
37372	555	84	36	135	s2c_syncstateeffect
84	14	6	6	140	s2c_useitem_result
10	2	5	5	146	s2c_pksyncpkvalue
305	61	5	5	151	s2c_replyclientping
80	16	5	5	161	s2c_syncplayerdisabledflag
66123	7347	9	9	163	s2c_syncplayertaskvalue
2	2	1	1	165	s2c_playerloginend
2	2	1	1	166	s2c_playerlogindelayend
1282	2	641	641	178	s2c_syncplayeralltaskvalue
16	2	8	8	186	s2c_tiredwarning_time
17	1	17	17	193	s2c_npcpos
51396	84	676	610	195	s2c_taskextend
384	24	19	15	200	s2c_playertitle_extend
1248	78	16	16	201	s2c_playerrepute_extend
25	5	5	5	202	s2c_playerpk_extend
14	2	7	7	203	s2c_playerrelation
41854	110	1360	21	204	s2c_scriptcall
2	2	1	1	205	s2c_gamecenter_loginok
4084	8	1108	4	206	s2c_mail
15	3	5	5	212	s2c_gamestate
19886	2190	17	9	213	s2c_lifeskill_extend
849	41	21	9	217	s2c_fightskill_extend
792	2	396	396	219	s2c_askgamecode
24	2	12	12	220	UNKNOWN
182	9	24	10	223	s2c_synplayer_extend
186	31	6	6	231	UNKNOWN
5042	22	560	114	233	UNKNOWN
