TotalFile:1129	PakTime:2010-4-19 19:59:15	PakTimeSave:4bcc4593	CRC:e3876214
Index	ID	Time	FileName	Size	InPakSize	ComprFlag	CRC
0	196b96	2008-10-16 10:34:25	\task_publish\sub\0000000000000005.xml	19178	2951	4	2846b210
1	3f7ab4	2010-2-1 12:56:19	\task_publish\task\0000000000000143.xml	6728	1215	4	bebe7696
2	7b6c79	2010-2-1 12:41:58	\task_publish\task\000000000000001E.xml	8048	1560	4	b599c502
3	8942cf	2010-2-1 12:45:43	\task_publish\task\000000000000006A.xml	6894	1317	4	a2a75c2d
4	9898e4	2008-10-16 10:34:57	\task_publish\sub\00000000000001AD.xml	15154	1440	4	40eca2ed
5	1233b3f	2010-2-1 12:51:34	\task_publish\task\00000000000000E4.xml	8250	1260	4	6f0eeb4b
6	129a86f	2009-7-2 14:47:27	\task_publish\sub\000000000000026A.xml	15512	1283	4	de985991
7	13dc21c	2008-10-16 10:34:41	\task_publish\sub\00000000000000C1.xml	10082	1614	4	52520176
8	163ae81	2008-10-16 10:34:50	\task_publish\sub\000000000000013A.xml	11706	1175	4	cf392856
9	19286b7	2010-2-1 12:59:10	\task_publish\task\000000000000017D.xml	11206	1301	4	fbc4707c
10	1a9db37	2010-2-1 12:39:2	\task_publish\sub\000000000000003F.xml	59802	5367	4	80834320
11	209092d	2009-7-2 14:47:27	\task_publish\sub\000000000000026B.xml	15512	1275	4	7384a08
12	215724c	2010-2-1 12:51:37	\task_publish\task\00000000000000E5.xml	9084	1131	4	41aef012
13	21ca3da	2008-10-16 10:34:41	\task_publish\sub\00000000000000C2.xml	20634	1825	4	74f9a04e
14	2430c4f	2008-10-16 10:34:50	\task_publish\sub\000000000000013B.xml	11728	1188	4	851e2019
15	284d1c4	2010-2-1 22:57:55	\task_publish\task\000000000000017E.xml	69394	13139	4	50b340d
16	31526cc	2010-2-1 12:42:52	\task_publish\task\0000000000000030.xml	7724	1373	4	7cd1d1d8
17	399f8ce	2009-4-22 17:38:5	\task_publish\sub\0000000000000230.xml	6904	944	4	6f09eb57
18	3ad137b	2008-10-16 10:34:45	\task_publish\sub\00000000000000FC.xml	8260	1523	4	98acbe67
19	3d3ffe0	2008-10-16 10:34:46	\task_publish\sub\0000000000000100.xml	10926	1701	4	f30e17e6
20	439e022	2009-11-19 18:50:26	\task_publish\task\00000000000000E3.xml	13924	2147	4	7989c8f3
21	44a7a69	2008-10-16 10:34:30	\task_publish\sub\000000000000003E.xml	26912	1600	4	5af41c97
22	4a94f9a	2010-2-1 12:59:7	\task_publish\task\000000000000017C.xml	8842	1057	4	7f9a053c
23	563ecb0	2009-3-31 10:21:55	\task_publish\sub\000000000000021F.xml	21090	2635	4	f13d8e3a
24	5c3e88a	2010-2-1 12:56:13	\task_publish\task\0000000000000141.xml	9524	2134	4	d43b5dd3
