TenNhanVat	TrangBiChuyen	CapCuongHoa	TongLuotChuyen	TrangBiNhan
DépLào	Thiên Ma Phù-Chu Thiềm	12	0	Thiên Ma Phù-Diên Dương
ChimĐangSun	Bắc Thần Liên-Chu Thiềm	12	0	Bắc Thần Liên-Chí mạng
SauThienThu89	Xích Tiêu Kiếm-Thực Cốt	12	0	Liệt Tâm Chùy-Ô Sương
SóngThần	Câu Vân Bội-Chí mạng	12	0	Long Thủ Bội-Chí mạng
DépLào	Hỏa Phủ Giới-Nghịch Thủy	12	1	Thương Khung Giới-Diên Dương
SóngThần	Huyền Thiết Kiếm-Hoàng Quang	14	1	Thanh Sương Kiếm-Triệt Cốt
ChimĐangSun	Huyền Thiết Kiếm-Hoàng Quang	14	1	Thanh Sương Kiếm-Triệt Cốt
LãoTam	Thất Tinh Thấu Cốt-Tâm Nhãn	14	0	Hàm Sa Xạ Ảnh-Ô Sương
congha	Long Uyên Kiếm-Linh Vũ	14	0	Thanh Sương Kiếm-Triệt Cốt
congha	Huyền Thiết Kiếm-Hoàng Quang	14	1	Phá Sơn Đao-Hàn Băng
DépLào	Huyền Thiết Kiếm-Hoàng Quang	14	2	Thanh Sương Kiếm-Vân Phách
DépLàoDM	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
TạpHóaLâmAn	Kim Cô Bổng-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
HoiUcKT	Huyền Thiết Kiếm-Việt Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
WuKong	Long Uyên Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
LãoĐại	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
DépLàoVĐ	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
DépLàoTYK	Huyền Thiết Kiếm-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
SaoHỏa	Phách Phong Đao-Nghiệp Hỏa	12	0	Phá Sơn Đao-Nghiệp Hỏa
DépLàoMN	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
