szName	nTongDame	szDate
Không xác định 1	1	2021-08-05 11:25:08
Không xác định 2	2	2021-08-05 11:25:34
Không xác định 3	3	2021-08-05 11:25:49
Không xác định 4	4	2021-08-05 11:25:56
Không xác định 5	5	2021-08-05 11:25:56
Không xác định 6	6	2021-08-05 11:25:56
Không xác định 7	7	2021-08-05 11:25:56
Không xác định 8	8	2021-08-05 11:25:56
Không xác định 9	9	2021-08-05 11:25:56
Không xác định 10	10	2021-08-05 11:25:56
BồTát	555223	2024-10-07 00:15:20
BạchLongMã	1180895	2024-10-07 00:22:07
SaNgộTĩnh	568399	2024-10-07 00:15:36
BátGiới	344660	2024-10-07 00:21:57
ĐườngTăng	970800	2024-10-07 00:15:51
WuKong	1547015	2024-10-07 00:16:01
MinhKhoiNe	274929	2024-10-07 12:51:20
SaoMộcĐức	0	2024-10-07 06:33:30
KẻMangTâmSự	0	2024-10-07 08:21:28
ThầyTrừTà	1342	2024-10-07 08:43:48
ThầyTrừTàb	1791	2024-10-07 08:21:35
ThầyTrừTàa	1448	2024-10-07 08:21:38
ThầyTrừTàc	66940	2024-10-07 08:43:57
ThầyTrừTàd	0	2024-10-07 08:21:44
ThầyLangBămb	4503	2024-10-07 08:23:30
EmChưaMười9	0	2024-10-07 08:25:52
EmChưaMười8a	0	2024-10-07 08:25:55
EmChưaMười8b	0	2024-10-07 08:26:02
EmChưaMười8c	0	2024-10-07 08:26:06
EmChưaMười8d	1672	2024-10-07 08:36:02
EmChưaMười8e	71279	2024-10-07 08:26:12
ThầyLangBăm	7270	2024-10-07 08:27:40
ThầyLangBăma	19392	2024-10-07 08:27:44
ThầyLangBămc	15435	2024-10-07 08:27:50
ThầyLangBămd	18545	2024-10-07 08:47:12
ThầyLangBăme	194244	2024-10-07 08:27:56
ThầyLangGiàb	2360	2024-10-07 08:29:33
ThầyLangGià	3954	2024-10-07 08:33:30
ThầyLangGiàa	5235	2024-10-07 08:33:33
ThầyLangGiàc	306194	2024-10-07 08:58:12
ThầyLangGiàdd	3031	2024-10-07 08:55:57
ThầyLangGiàe	67222	2024-10-07 08:33:47
NảiChuối9	0	2024-10-07 08:57:12
NảiChuối9a	0	2024-10-07 08:57:16
NảiChuối9b	0	2024-10-07 08:57:19
NảiChuối9c	0	2024-10-07 08:57:22
NảiChuối9d	60566	2024-10-07 08:57:26
NảiChuối9e	65510	2024-10-07 08:57:33
DangKhoiNe	561688	2024-10-07 12:50:30
DépLàoNM	195636	2024-10-07 09:24:50
DépLào	1403775	2024-10-07 09:48:00
DépLàoDM	1222915	2024-10-07 09:55:39
DépLàoVĐ	1036492	2024-10-07 09:55:57
DépLàoTYK	130912	2024-10-07 09:56:16
DépLàoMN	477928	2024-10-07 09:44:12
ĐạiSưHuynh	1051442	2024-10-07 10:12:52
SóngThần	1154672	2024-10-07 11:32:24
ConSóngA	145012	2024-10-07 11:47:25
AConSóngMGC	388537	2024-10-07 11:38:56
CConSóngDM	1190050	2024-10-07 11:48:16
DConSóngVĐ	990754	2024-10-07 11:33:36
EConSóngTN	256067	2024-10-07 11:33:58
NamDoaNe	1036794	2024-10-07 12:25:22
HangBaby	152190	2024-10-07 12:55:19
HaiDangNe	584237	2024-10-07 12:43:10
HangSPA	745690	2024-10-07 12:57:19
adumin	367415	2024-10-07 20:04:32
ooOGameOVerOoo	0	2024-10-07 13:14:45
aduminn	571085	2024-10-07 13:21:12
adminnn	364228	2024-10-07 13:21:54
adumiin	677913	2024-10-07 17:58:30
TiểuLam	732035	2024-10-07 18:46:15
TiểuHồng	569793	2024-10-07 18:41:14
TiểuHắc	1043104	2024-10-07 18:47:15
NguyênBá	170221	2024-10-07 18:42:32
ChỉNhược	571634	2024-10-07 18:48:17
VươngCường	1633625	2024-10-07 19:21:26
RồngXanh	401417	2024-10-07 20:00:17
TriểnTriêu	603896	2024-10-07 19:55:48
MãHán	282253	2024-10-07 19:51:56
VươngTriều	355941	2024-10-07 20:26:31
adminmn	402017	2024-10-07 19:59:32
NgaMiCóChim	966779	2024-10-07 20:09:37
LãoTứ	647730	2024-10-07 20:09:48
LãoNhị	284421	2024-10-07 20:10:00
LãoTam	1057096	2024-10-07 20:10:30
LãoNgũ	636376	2024-10-07 20:10:50
LãoĐại	1461921	2024-10-07 20:11:49
anhbachacu	1032994	2024-10-07 20:20:50
hophap	0	2024-10-07 20:16:20
zbufloilonz	15563	2024-10-07 20:16:34
zBeHatLuz	0	2024-10-07 20:17:10
zGiatteTez	0	2024-10-07 20:17:27
GiảiTrí	69272	2024-10-07 20:19:38
ĐamMêGame	0	2024-10-07 20:21:54
TestGame	0	2024-10-07 20:22:03
GameKiếmThế	17268	2024-10-07 20:33:42
ĐamMêPK	0	2024-10-07 20:25:18
ĐamMêCày	0	2024-10-07 20:26:59
TạpHóaLâmAn	0	2024-10-07 20:34:16
TửuLầuLâmAn	0	2024-10-07 20:34:33
TrangSứcLâmAn	0	2024-10-07 20:38:56
BinhKhíLâmAn	0	2024-10-07 20:39:10
ThuốcLâmAn	0	2024-10-07 20:39:22
PhòngCụLâmAn	0	2024-10-07 20:39:34
