szAccount	szName	szCurIp	szLastIp	nHardWareId	SoDong	KNBtieu	KNBdai	HT10	HT11	HT12	szDate
balotellia	VDlKiem	103.200.22.29	103.200.22.29	3495225229	0	0	0	0	0	0	0	2023-04-30 16:32:07
condegib	BBBBBB	103.200.22.29	103.200.22.29	2936019593	70	0	0	0	0	0	0	2023-04-30 16:33:22
condegic	CCCCCC	103.200.22.29	103.200.22.29	2936019593	70	0	0	0	0	0	0	2023-04-30 16:36:16
shjnbeo	OMGBikini	103.200.22.29	103.200.22.29	1541071435	0	0	0	0	0	0	0	2023-04-30 16:36:53
condegid	DDDDDD	103.200.22.29	103.200.22.29	2936019593	70	0	0	0	0	0	0	2023-04-30 16:37:22
kutiletho	TiểuPhêê	103.200.22.29	103.200.22.29	1997406535	19.2836	0	0	0	0	0	0	2023-04-30 16:37:32
condegie	EEEEEE	103.200.22.29	103.200.22.29	2936019593	54.8	0	0	0	0	0	0	2023-04-30 16:38:25
caotien	Game20	103.200.22.29	103.200.22.29	2628096326	7.2	8	0	0	0	0	0	2023-04-30 16:38:34
kutilemoc	TiểuMộc	103.200.22.29	103.200.22.29	1997406535	10.1016	0	0	0	0	0	0	2023-04-30 16:39:01
kutilekim	TiểuKim	103.200.22.29	103.200.22.29	1997406535	9.3182	0	0	0	0	0	0	2023-04-30 16:39:14
caotiena	Game21	103.200.22.29	103.200.22.29	2628096326	16.25	4	0	0	0	0	0	2023-04-30 16:39:18
kutilemoc	TiểuMộc	103.200.22.29	103.200.22.29	1997406535	10.1016	0	0	0	0	0	0	2023-04-30 16:40:02
kutilekim	TiểuKim	103.200.22.29	103.200.22.29	1997406535	9.3182	0	0	0	0	0	0	2023-04-30 16:40:15
kutilehoa	TiểuHỏa	103.200.22.29	103.200.22.29	1997406535	4.6953	0	0	0	0	0	0	2023-04-30 16:40:27
kutilethoo	TiểuThổ	103.200.22.29	103.200.22.29	1997406535	9.9925	0	0	0	0	0	0	2023-04-30 16:40:46
tdchnam	TieuDaoCoc25	103.200.22.29	103.200.22.29	1997406535	3.5	0	0	0	0	0	0	2023-04-30 16:41:01
