Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	Stuff1Detail	Stuff1Particular	Stuff2Detail	Stuff2Particular	UnLockInterval
Ngũ Hành Ấn	Ngũ Hành Ấn_Thiếu Lâm	1	1	16	1	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			1	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	1																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_Thiên Vương 	1	1	16	2	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			1	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	2																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_Đường Môn	1	1	16	3	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			2	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	3																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_Ngũ Độc	1	1	16	4	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			2	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	4																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_Nga My	1	1	16	5	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			3	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	5																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_Thúy Yên	1	1	16	6	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			3	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	6																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_Cái Bang	1	1	16	7	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			4	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	7																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_Thiên Nhẫn	1	1	16	8	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			4	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	8																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_Võ Đang	1	1	16	9	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			5	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	9																																																													
Ngũ Hành Ấn	Ngũ Hành Ấn_ Côn Lôn 	1	1	16	10	1	\image\item\equip\yinjian\wuxingyin_s.spr	\image\item\equip\yinjian\wuxingyin.spr	18			5	1	100			1	0	signet			seriesenhance	1	1	-1	-1	0	0	seriesabate	1	1	-1	-1	0	0																																																									5	60	6	10																																																													
