ClassParamID	Desc	Probability	Name	BindMoney	Money	Coin	Genre	DetailType	ParticularType	Level	Series	EnhTimes	Amount	Exp	BaseExp	MKP	GTP	Bind	TimeLimit	Announce	FriendMsg
物品ExtParam1	随机宝箱	概率	开出东西	绑定银两	银两		大类	子类	详细类	等级	五行	强化	数量	经验	基准经验	精力	活力	绑定	有效期（格式同ItemTimeOut格式）	世界公告	好友公告
1	Bảo rương	3000	sơ cấp lệnh bài （30danh vọng ）				18	1	81	1	0	0									
1	Bảo rương	2000	trung cấp lệnh bài （60danh vọng ）				18	1	81	2	0	0									
1	Bảo rương	1000	cao cấp lệnh bài （100danh vọng ）				18	1	81	3	0	0									
1	Bảo rương	1500	JXB10000		10000																
1	Bảo rương	500	JXB20000		20000																
1	Bảo rương	300	JXB30000		30000																
1	Bảo rương	200	JXB50000		50000																
1	Bảo rương	100	JXB100000		100000																
1	Bảo rương	10000	Huyền Tinh cấp 7				18	1	1	6	0	0									
1	Bảo rương	10000	Huyền Tinh có vết nứt (cấp 6)				18	1	1	7	0	0									
1	Bảo rương	5000	Huyền Tinh thường (cấp 7)				18	1	1	8	0	0									
2	Rương báu của Mã Xuyên Sơn	1000	gia tộc lệnh bài （sơ cấp ）				18	1	110	1	0	0									
2	Rương báu của Mã Xuyên Sơn	500	gia tộc lệnh bài （trung cấp ）				18	1	110	2	0	0									
2	Rương báu của Mã Xuyên Sơn	300	gia tộc lệnh bài （cao cấp ）				18	1	110	3	0	0									
2	Rương báu của Mã Xuyên Sơn	5000	Huyền Tinh cấp 5				18	1	1	5	0	0						1			
2	Rương báu của Mã Xuyên Sơn	3090	Huyền Tinh có vết nứt (cấp 6)				18	1	1	6	0	0						1			
2	Rương báu của Mã Xuyên Sơn	100	Huyền Tinh thường (cấp 7)				18	1	1	7	0	0						1			
2	Rương báu của Mã Xuyên Sơn	10	Huyền Tinh có tì vết (cấp 8)				18	1	1	8	0	0						1			
3	Rương huyền thiết gia tộc Thịnh Hạ	7000	Huyền Tinh có vết nứt (cấp 6)				18	1	1	6	0	0									
3	Rương huyền thiết gia tộc Thịnh Hạ	2000	JXB100000		100000																
3	Rương huyền thiết gia tộc Thịnh Hạ	1000	Huyền Tinh thường (cấp 7)				18	1	1	7	0	0									
4	Rương thanh đồng gia tộc Thịnh Hạ	8400	Huyền Tinh thường (cấp 7)				18	1	1	7	0	0									
4	Rương thanh đồng gia tộc Thịnh Hạ	1500	JXB300000		300000																
4	Rương thanh đồng gia tộc Thịnh Hạ	100	Huyền Tinh có tì vết (cấp 8)				18	1	1	8	0	0									
5	Rương bạch ngân gia tộc Thịnh Hạ	7700	Huyền Tinh thường (cấp 7)				18	1	1	7	0	0									
5	Rương bạch ngân gia tộc Thịnh Hạ	1500	JXB600000		600000																
5	Rương bạch ngân gia tộc Thịnh Hạ	800	Huyền Tinh có tì vết (cấp 8)				18	1	1	8	0	0									
6	Rương Hoàng Kim gia tộc Thịnh Hạ	8700	Huyền Tinh có tì vết (cấp 8)				18	1	1	8	0	0									
6	Rương Hoàng Kim gia tộc Thịnh Hạ	1000	JXB1000000		1000000																
6	Rương Hoàng Kim gia tộc Thịnh Hạ	300	Huyền Tinh vô hạ (cấp 9)				18	1	1	9	0	0									
7	Túi quân hưởng	200	Trâu lan trại lệnh bài 				20	1	485	1	0	0									
7	Túi quân hưởng	800	mê cung cái chìa khóa 				20	1	486	1	0	0									
7	Túi quân hưởng	100	cốt ngọc Đồ Đằng 				20	1	487	1	0	0									
7	Túi quân hưởng	500	thục thịt bò 				20	1	488	1	0	0									
7	Túi quân hưởng	400	khảo am thuần 				20	1	488	2	0	0									
7	Túi quân hưởng	4500	10000 Điểm Kinh nghiệm 											10000							
7	Túi quân hưởng	1500	300 Bạc Khóa 	300																	
7	Túi quân hưởng	2000	8một Khóahồn thạch 				18	1	205	1	0	0	8					1			
8	Túi kỷ niệm 20 năm	3879	Huyền Tinh cấp 4				18	1	1	4	0	0						1			
8	Túi kỷ niệm 20 năm	1000	Huyền Tinh cấp 5				18	1	1	5	0	0						1			
8	Túi kỷ niệm 20 năm	100	Huyền Tinh có vết nứt (cấp 6)				18	1	1	6	0	0						1		1	
8	Túi kỷ niệm 20 năm	10	Huyền Tinh thường (cấp 7)				18	1	1	7	0	0						1		1	
8	Túi kỷ niệm 20 năm	1	Huyền Tinh có tì vết (cấp 8)				18	1	1	8	0	0						1		1	
8	Túi kỷ niệm 20 năm	3000	hai mươi chở bách luyện đan 				18	1	257	1	0	0							43200		
8	Túi kỷ niệm 20 năm	10	bí cảnh địa đồ 				18	1	251	1	0	0						1		1	
8	Túi kỷ niệm 20 năm	400	tiên linh gỗ thô 				22	1	35	1	0	0									
8	Túi kỷ niệm 20 năm	400	tiên linh quả 				22	1	43	1	0	0									
8	Túi kỷ niệm 20 năm	400	linh thú da lông 				22	1	37	1	0	0									
8	Túi kỷ niệm 20 năm	400	tử tinh nguyên thạch 				22	1	41	1	0	0									
8	Túi kỷ niệm 20 năm	400	linh thú máu 				22	1	39	1	0	0									
8	Túi kỷ niệm 20 năm	9600	buộc Kim 			500												1			
9	Túi quà liên đấu	4790	Huyền Tinh cấp 4				18	1	114	5	0	0						1			
9	Túi quà liên đấu	3600	Huyền Tinh cấp 5				18	1	114	6	0	0						1			
9	Túi quà liên đấu	10	Huyền Tinh có tì vết (cấp 8)				18	1	114	7	0	0						1		1	
10	NL Tranh Đoạt Lãnh Thổ	2000	Huyền thiết mộc				22	1	55	1	0										
10	NL Tranh Đoạt Lãnh Thổ	2000	Da Long Chiến Hổ				22	1	47	1	0										
10	NL Tranh Đoạt Lãnh Thổ	2000	Không bạch hoàng chỉ				22	1	49	1	0										
10	NL Tranh Đoạt Lãnh Thổ	2000	Linh hồn thị trấn đá thô				22	1	51	1	0										
10	NL Tranh Đoạt Lãnh Thổ	2000	Mai Hoàng Quả				22	1	53	1	0										
11	Rương hoạt động gia tộc	1200	JXB50000	50000																	
11	Rương hoạt động gia tộc	500	JXB100000	100000																	
11	Rương hoạt động gia tộc	200	JXB150000	150000																	
11	Rương hoạt động gia tộc	7469	Huyền Tinh có vết nứt (cấp 6)				18	1	114	6	0	0									
11	Rương hoạt động gia tộc	600	Huyền Tinh thường (cấp 7)				18	1	114	7	0	0									
11	Rương hoạt động gia tộc	30	Huyền Tinh có tì vết (cấp 8)				18	1	114	8	0	0									
11	Rương hoạt động gia tộc	1	Huyền Tinh vô hạ (cấp 9)				18	1	114	9	0	0									
15	Túi quân hưởng	800	thục thịt bò 				20	1	488	1	0	0									
15	Túi quân hưởng	500	khảo am thuần 				20	1	488	2	0	0									
15	Túi quân hưởng	4800	Điểm Kinh nghiệm 12000											12000							
15	Túi quân hưởng	1900	Bạc Khóa 400		400																
15	Túi quân hưởng	2000	9một Khóahồn thạch 				18	1	205	1	0	0	9					1			
16	Rương gỗ đàn hương	6000	Huyền Tinh có vết nứt (cấp 6)				18	1	114	6	0										
16	Rương gỗ đàn hương	700	Huyền Tinh thường (cấp 7)				18	1	114	7	0										
16	Rương gỗ đàn hương	100	Huyền Tinh có tì vết (cấp 8)				18	1	114	8	0									1	
18	Rương cổ	7190	Huyền Tinh có vết nứt (cấp 6)				18	1	114	6	0								43200		
18	Rương cổ	2500	Huyền Tinh thường (cấp 7)				18	1	114	7	0								43200		
18	Rương cổ	300	Huyền Tinh có tì vết (cấp 8)				18	1	114	8	0								43200	1	
18	Rương cổ	10	Huyền Tinh vô hạ (cấp 9)				18	1	114	9	0								43200	1	
19	Rương Bạch Ngân Hải Lăng Vương Mộ	5000	Huyền Tinh cấp 4				18	1	114	4	0										
19	Rương Bạch Ngân Hải Lăng Vương Mộ	10000	Huyền Tinh cấp 4				18	1	114	4	0								43200	1	
20	Rương Thanh Đồng Hải Lăng Vương Mộ	200	Huyền Tinh cấp 4				18	1	114	4	0										
20	Rương Thanh Đồng Hải Lăng Vương Mộ	20000	Huyền Tinh cấp 4				18	1	114	4	0										
21	Rương Bạch Ngân Hải Lăng Vương Mộ	20000	Huyền Tinh cấp 4				18	1	114	4	0										
21	Rương Bạch Ngân Hải Lăng Vương Mộ	20000	Huyền Tinh cấp 4				18	1	114	4	0										
22	Rương Hoàng Kim Hải Lăng Vương Mộ	8580	Huyền Tinh cấp 4				18	1	114	4	0										
22	Rương Hoàng Kim Hải Lăng Vương Mộ	20000	Huyền Tinh cấp 4				18	1	114	4	0								43200	1	
22	Rương Hoàng Kim Hải Lăng Vương Mộ	10000	Huyền Tinh cấp 4				18	1	114	4	0								43200	1	
23	Túi quân hưởng	800	thục thịt bò 				20	1	488	1	0	0									
23	Túi quân hưởng	500	khảo am thuần 				20	1	488	2	0	0									
23	Túi quân hưởng	4500	Điểm Kinh nghiệm 13500											13500							
23	Túi quân hưởng	1900	Bạc Khóa 500		500																
23	Túi quân hưởng	2000	10một Khóahồn thạch 				18	1	205	1	0	0	10					1			
24	Rương Vàng tiên phong	3450	Huyền Tinh có vết nứt (cấp 6)				18	1	114	6	0								43200		
24	Rương Vàng tiên phong	4000	Huyền Tinh thường (cấp 7)				18	1	114	7	0								43200		
24	Rương Vàng tiên phong	500	Huyền Tinh có tì vết (cấp 8)				18	1	114	8	0								43200		
24	Rương Vàng tiên phong	50	Huyền Tinh vô hạ (cấp 9)				18	1	114	9	0								43200	1	
25	Rương Bạc tiên phong	6280	Huyền Tinh có vết nứt (cấp 6)				18	1	114	6	0								43200		
25	Rương Bạc tiên phong	1500	Huyền Tinh thường (cấp 7)				18	1	114	7	0								43200		
25	Rương Bạc tiên phong	200	Huyền Tinh có tì vết (cấp 8)				18	1	114	8	0								43200		
25	Rương Bạc tiên phong	20	Huyền Tinh vô hạ (cấp 9)				18	1	114	9	0								43200	1	
26	Rương Đồng tiên phong	4090	Huyền Tinh có vết nứt (cấp 6)				18	1	114	6	0								43200		
26	Rương Đồng tiên phong	3300	Huyền Tinh có vết nứt (cấp 6)				18	1	114	6	0								43200		
26	Rương Đồng tiên phong	1000	Huyền Tinh thường (cấp 7)				18	1	114	7	0								43200		
26	Rương Đồng tiên phong	100	Huyền Tinh có tì vết (cấp 8)				18	1	114	8	0								43200		
26	Rương Đồng tiên phong	10	Huyền Tinh vô hạ (cấp 9)				18	1	114	9	0								43200	1	
28	Quà mỹ nữ	8350	Huyền Tinh có tì vết (cấp 8)				18	1	114	8	0								43200		
28	Quà mỹ nữ	1500	Huyền Tinh vô hạ (cấp 9)				18	1	114	9	0								43200	1	
28	Quà mỹ nữ	150	10cấp huyền tinh 				18	1	114	10	0								43200	1	
29	Bảo rương may mắn	1200	Huyền Tinh có vết nứt (cấp 6)				18	1	114	6	0								43200		
29	Bảo rương may mắn	100	Huyền Tinh thường (cấp 7)				18	1	114	7	0								43200		
29	Bảo rương may mắn	10	Huyền Tinh có tì vết (cấp 8)				18	1	114	8	0								43200	1	
29	Bảo rương may mắn	1200	100000buộc ngân 	100000																	
29	Bảo rương may mắn	300	200000buộc ngân 	200000																	
29	Bảo rương may mắn	30	500000buộc ngân 	500000																	
29	Bảo rương may mắn	10	1000000buộc ngân 	1000000																1	
33	Rương Đại Mã Tam		Rương lan hoa				18	1	390	1								1	10080		
33	Rương Đại Mã Tam		Rương hồ điệp				18	1	390	2								1	10080		
33	Rương Đại Mã Tam		Rương cự viên				18	1	390	3								1	10080		
34	Rương cổ mộc		Rương tử đàn				18	1	391	1								1	10080		
34	Rương cổ mộc		Rương hồng mộc				18	1	391	2								1	10080		
34	Rương cổ mộc		Rương hương chương				18	1	391	3								1	10080		
35	Rương lan hoa	800	[mặt nạ]Tĩnh Ca Ca 				13	1	29	1											
35	Rương lan hoa	800	[mặt nạ]Dung Muội Muội 				13	1	30	1											
35	Rương lan hoa	2500	tiên hương thịt tống 				18	1	326	1									43200		
