Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Hộ Thân Phù	Hộ phù đồng hành_cấp 1	1	5	23	1	1	\image\item\partnerequip\amulet\partner_lv1_3_s.spr	\image\item\partnerequip\amulet\partner_lv1_3.spr	25			0	1	50000000			4	1	equip	0	0	defence_level	1	1					lifereplenish_v	30	30					manareplenish_v	30	30					staminareplenish_v	30	30					damage_all_resist	15	15					allskill_v	1	1			1986	1986																													5	100										
Kim Lân Hộ Thân Phù	Hộ phù đồng hành_cấp 2	1	5	23	1	2	\image\item\partnerequip\amulet\partner_lv2_3_s.spr	\image\item\partnerequip\amulet\partner_lv2_3.spr	25			0	1	150000000			4	1	equip	0	0	defence_level	2	2					lifereplenish_v	40	40					manareplenish_v	40	40					staminareplenish_v	40	40					damage_all_resist	20	20					allskill_v	2	2			1986	1986																													5	100										
Kim Lân Hộ Thân Phù +1	Hộ phù đồng hành_cấp 2	1	5	23	2	2	\image\item\partnerequip\amulet\partner_lv2_3_s.spr	\image\item\partnerequip\amulet\partner_lv2_3.spr	25			0	1	150000000			4	1	equip	0	0	defence_level	4	4					lifereplenish_v	50	50					manareplenish_v	50	50					staminareplenish_v	50	50					damage_all_resist	40	40																																								5	100										
Kim Lân Hộ Thân Phù +2	Hộ phù đồng hành_cấp 2	1	5	23	3	2	\image\item\partnerequip\amulet\partner_lv2_3_s.spr	\image\item\partnerequip\amulet\partner_lv2_3.spr	25			0	1	150000000			4	1	equip	0	0	defence_level	6	6					lifereplenish_v	60	60					manareplenish_v	60	60					staminareplenish_v	60	60					damage_all_resist	50	50																																								5	100										
Kim Lân Hộ Thân Phù +3	Hộ phù đồng hành_cấp 2	1	5	23	4	2	\image\item\partnerequip\amulet\partner_lv2_3_s.spr	\image\item\partnerequip\amulet\partner_lv2_3.spr	25			0	1	150000000			4	1	equip	0	0	defence_level	8	8					lifereplenish_v	70	70					manareplenish_v	70	70					staminareplenish_v	70	70					damage_all_resist	50	50																																								5	100										
Đơn Tâm Hộ Thân Phù	Hộ phù đồng hành_cấp 3	1	5	23	1	3	\image\item\partnerequip\amulet\partner_lv3_3_s.spr	\image\item\partnerequip\amulet\partner_lv3_3.spr	25			0	1	6000000000			4	1	equip	0	0	defence_level	10	10					lifereplenish_v	80	80					manareplenish_v	80	80					staminareplenish_v	80	80					damage_all_resist	40	60					skilldamageptrim	1	3					allskill_v	3	3			1986	1986																						5	100										
Hào Hiệp Hộ Thân Phù	Hộ phù đồng hành_cấp 4	1	5	23	1	4	\image\item\partnerequip\amulet\partner_lv4_3_s.spr	\image\item\partnerequip\amulet\partner_lv4_3.spr	25			0	1	4500000000			4	1	equip	0	0	defence_level	4	4					lifereplenish_v	200	200					manareplenish_v	60	60					staminareplenish_v	60	60					damage_all_resist	100	150					skilldamageptrim	3	6					allskill_v	1	1	4	4			allskill_v	4	4			1986	1986															5	100										
Truyền Kỳ Hộ Thần Phù	Hộ phù đồng hành_cấp 5	1	5	23	1	5	\image\update2015\petnew\phupet5.spr	\image\update2015\petnew\phupet5_v.spr	9			0	1	6000000000			4		equip	0	0	defence_level	4	4					lifereplenish_v	300	300					manareplenish_v	75	75					staminareplenish_v	50	50					damage_all_resist	200	200					allskill_v	1	1	4	4																															5	100										
Thiên Cơ Hộ Thân Phù	Hộ phù đồng hành_cấp 6	1	5	23	1	6	\image\update2015\trangbipetnew\cap6\icon_phu.spr	\image\update2015\trangbipetnew\cap6\view_phu.spr	9			0	1	6000000000			4		equip	0	0	defence_level	4	4					lifereplenish_v	400	400					manareplenish_v	85	85					staminareplenish_v	70	70					damage_all_resist	250	250					allskill_v	1	1	4	4																															5	100										
Hào Hiệp Hộ Thân Phù	Hộ phù đồng hành_cấp 7	1	5	23	1	7	\image\update2015\trangbipetnew\cap7\icon_phu.spr	\image\update2015\trangbipetnew\cap7\view_phu.spr	9			0	1	6000000000			4		equip	0	0	defence_level	4	4					lifereplenish_v	500	500					manareplenish_v	95	95					staminareplenish_v	80	80					damage_all_resist	300	300					allskill_v	1	1	4	4																															5	100										
Bạch Kim Hộ Thân Phù	Hộ phù đồng hành_cấp 8	1	5	23	1	8	\image\update2015\trangbipetnew\cap8\icon_phu.spr	\image\update2015\trangbipetnew\cap8\view_phu.spr	9			0	1	6000000000			4		equip	0	0	defence_level	4	4					lifereplenish_v	600	600					manareplenish_v	105	105					staminareplenish_v	90	90					damage_all_resist	350	350					allskill_v	1	1	4	4																															5	100										
