Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Chiến Y 	Áo đồng hành_cấp 1	1	5	20	1	1	\image\item\partnerequip\body\partner_lv1_2_s.spr	\image\item\partnerequip\body\partner_lv1_2.spr	20			0	1	15000000			4	1	equip	0	0	redeivedamage_dec_p	7	7					manamax_p	10	10					defencedeadlystrikedamagetrim	15	15					allskill_v	1	1			1983	1983																																											5	100										
Kim Lân Chiến Y 	Áo đồng hành_cấp 2	1	5	20	1	2	\image\item\partnerequip\body\partner_lv2_2_s.spr	\image\item\partnerequip\body\partner_lv2_2.spr	20			0	1	50000000			4	1	equip	0	0	redeivedamage_dec_p	12	12					manamax_p	12	12					defencedeadlystrikedamagetrim	20	20					allskill_v	2	2			1983	1983																																											5	100										
Kim Lân Chiến Y +1	Áo đồng hành_cấp 2	1	5	20	2	2	\image\item\partnerequip\body\partner_lv2_2_s.spr	\image\item\partnerequip\body\partner_lv2_2.spr	20			0	1	50000000			4	1	equip	0	0	redeivedamage_dec_p	15	15					manamax_p	14	14					defencedeadlystrikedamagetrim	22	22																																																						5	100										
Kim Lân Chiến Y +2	Áo đồng hành_cấp 2	1	5	20	3	2	\image\item\partnerequip\body\partner_lv2_2_s.spr	\image\item\partnerequip\body\partner_lv2_2.spr	20			0	1	50000000			4	1	equip	0	0	redeivedamage_dec_p	17	17					manamax_p	16	16					defencedeadlystrikedamagetrim	24	24																																																						5	100										
Kim Lân Chiến Y +3	Áo đồng hành_cấp 2	1	5	20	4	2	\image\item\partnerequip\body\partner_lv2_2_s.spr	\image\item\partnerequip\body\partner_lv2_2.spr	20			0	1	50000000			4	1	equip	0	0	redeivedamage_dec_p	20	20					manamax_p	18	18					defencedeadlystrikedamagetrim	26	26																																																						5	100										
Đơn Tâm Chiến Y 	Áo đồng hành_cấp 3	1	5	20	1	3	\image\item\partnerequip\body\partner_lv3_2_s.spr	\image\item\partnerequip\body\partner_lv3_2.spr	20			0	1	150000000			4	1	equip	0	0	redeivedamage_dec_p	25	25					manamax_p	20	20					defencedeadlystrikedamagetrim	30	30					damage_all_resist	40	60					lifemax_v	500	2000					allskill_v	3	3			1983	1983																													5	100										
Hào Hiệp Chiến Y	Áo đồng hành_cấp 4	1	5	20	1	4	\image\item\partnerequip\body\partner_lv4_2_s.spr	\image\item\partnerequip\body\partner_lv4_2.spr	20			0	1	1500000000			4	1	equip	0	0	redeivedamage_dec_p	18	18					manamax_p	30	30					defencedeadlystrikedamagetrim	35	35					damage_all_resist	60	90					lifemax_v	2000	5000					allskill_v	4	4			1983	1983																													5	100										
Truyền Kỳ Chiến Y	Áo đồng hành_cấp 5	1	5	20	1	5	\image\update2015\petnew\aopet5.spr	\image\update2015\petnew\aopet5_v.spr	9			0	1	2500000000			4	1	equip	0	0	redeivedamage_dec_p	20	20					manamax_p	35	35					defencedeadlystrikedamagetrim	40	40					lifemax_v	8000	8000					manareplenish_p	10	10					lifereplenish_p	10	10																																	5	100										
Thiên Cơ Chiến Y	Áo đồng hành_cấp 6	1	5	20	1	6	\image\update2015\trangbipetnew\cap6\icon_ao.spr	\image\update2015\trangbipetnew\cap6\view_ao.spr	9			0	1	2500000000			4	1	equip	0	0	redeivedamage_dec_p	40	40					manamax_p	45	45					defencedeadlystrikedamagetrim	50	50					lifemax_v	11000	11000					manareplenish_p	20	20					lifereplenish_p	20	20																																	5	100										
Hào Hiệp Chiến Y	Áo đồng hành_cấp 7	1	5	20	1	7	\image\update2015\trangbipetnew\cap7\icon_ao.spr	\image\update2015\trangbipetnew\cap7\view_ao.spr	9			0	1	2500000000			4	1	equip	0	0	redeivedamage_dec_p	50	50					manamax_p	55	55					defencedeadlystrikedamagetrim	60	60					lifemax_v	14000	14000					manareplenish_p	30	30					lifereplenish_p	30	30																																	5	100										
Bạch Kim Chiến Y	Áo đồng hành_cấp 8	1	5	20	1	8	\image\update2015\trangbipetnew\cap8\icon_ao.spr	\image\update2015\trangbipetnew\cap8\view_ao.spr	9			0	1	2500000000			4	1	equip	0	0	redeivedamage_dec_p	60	60					manamax_p	65	65					defencedeadlystrikedamagetrim	70	70					lifemax_v	17000	17000					manareplenish_p	40	40					lifereplenish_p	40	40																																	5	100										
