Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Hộ Uyển	Đồng Hành Hộ Uyển_cấp 1	1	5	22	1	1	\image\item\partnerequip\cuff\partner_cuff_01_s.spr	\image\item\partnerequip\cuff\partner_cuff_01.spr	9			0	1	15000000			4	1	equip	0	0	damage_all_resist	65	75					lifereplenish_p	9	9					seriesstate_time_added	30	30					allskill_v	1	1			1985	1985																																											5	100										
Kim Lân Hộ Uyển	Đồng Hành Hộ Uyển_cấp 2	1	5	22	1	2	\image\item\partnerequip\cuff\partner_cuff_02_s.spr	\image\item\partnerequip\cuff\partner_cuff_02.spr	9			0	1	50000000			4	1	equip	0	0	damage_all_resist	80	90					lifereplenish_p	11	11					seriesstate_time_added	50	50					allskill_v	2	2			1985	1985																																											5	100										
Kim Lân Hộ Uyển +1	Đồng Hành Hộ Uyển_cấp 2	1	5	22	2	2	\image\item\partnerequip\cuff\partner_cuff_02_s.spr	\image\item\partnerequip\cuff\partner_cuff_02.spr	9			0	1	50000000			4	1	equip	0	0	damage_all_resist	90	90					lifereplenish_p	13	13					seriesstate_time_added	70	70																																																						5	100										
Kim Lân Hộ Uyển +2	Đồng Hành Hộ Uyển_cấp 2	1	5	22	3	2	\image\item\partnerequip\cuff\partner_cuff_02_s.spr	\image\item\partnerequip\cuff\partner_cuff_02.spr	9			0	1	50000000			4	1	equip	0	0	damage_all_resist	100	90					lifereplenish_p	15	15					seriesstate_time_added	90	90																																																						5	100										
Kim Lân Hộ Uyển +3	Đồng Hành Hộ Uyển_cấp 2	1	5	22	4	2	\image\item\partnerequip\cuff\partner_cuff_02_s.spr	\image\item\partnerequip\cuff\partner_cuff_02.spr	9			0	1	50000000			4	1	equip	0	0	damage_all_resist	110	90					lifereplenish_p	17	17					seriesstate_time_added	110	110																																																						5	100										
Đơn Tâm Hộ Uyển	Đồng Hành Hộ Uyển_cấp 3	1	5	22	1	3	\image\item\partnerequip\cuff\partner_cuff_03_s.spr	\image\item\partnerequip\cuff\partner_cuff_03.spr	9			0	1	150000000			4	1	equip	0	0	damage_all_resist	110	150					lifereplenish_p	20	20					seriesstate_time_added	130	130					allskill_v	3	3			1985	1985	allskill_v	1				207																																					5	100										
Hào Hiệp Hộ Uyển	Đồng Hành Hộ Uyển_cấp 4	1	5	22	1	4	\image\item\partnerequip\cuff\partner_cuff_04_s.spr	\image\item\partnerequip\cuff\partner_cuff_04.spr	9			0	1	1500000000			4	1	equip	0	0	damage_all_resist	150	200					lifereplenish_p	30	30					seriesstate_time_added	105	105					lifemax_v	1000	3000					allskill_v	4	4			1985	1985	allskill_v	2				207																														5	100										
Truyền Kỳ Hộ Uyển	Đồng Hành Hộ Uyển_cấp 5	1	5	22	1	5	\image\update2015\petnew\taypet5.spr	\image\update2015\petnew\taypet5_v.spr	9			0	1	2500000000			4	1	equip	0	0	damage_all_resist	300	300					lifereplenish_p	40	40					seriesstate_time_added	110	110					lifemax_v	5000	5000																																															5	100										
Thiên Cơ Hộ Uyển	Đồng Hành Hộ Uyển_cấp 6	1	5	22	1	6	\image\update2015\trangbipetnew\cap6\icon_tay.spr	\image\update2015\trangbipetnew\cap6\view_tay.spr	9			0	1	2500000000			4	1	equip	0	0	damage_all_resist	400	400					lifereplenish_p	50	50					seriesstate_time_added	120	120					lifemax_v	7000	7000																																															5	100										
Hào Hiệp Hộ Uyển	Đồng Hành Hộ Uyển_cấp 7	1	5	22	1	7	\image\update2015\trangbipetnew\cap7\icon_tay.spr	\image\update2015\trangbipetnew\cap7\view_tay.spr	9			0	1	2500000000			4	1	equip	0	0	damage_all_resist	500	500					lifereplenish_p	60	60					seriesstate_time_added	130	130					lifemax_v	9000	9000																																															5	100										
