Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Giới Chỉ	Nhẫn đồng hành_cấp 1	1	5	21	1	1	\image\item\partnerequip\ring\partner_ring_01_s.spr	\image\item\partnerequip\ring\partner_ring_01.spr	9			0	1	15000000			4	1	equip	0	0	addphysicsdamage_p	75	75					addphysicsmagic_p	75	75					manareplenish_p	9	11					allseriesstateresisttime	30	50					allskill_v	1	1			1984																																					5	100										
Kim Lân Chi Giới	Nhẫn đồng hành_cấp 2	1	5	21	1	2	\image\item\partnerequip\ring\partner_ring_02_s.spr	\image\item\partnerequip\ring\partner_ring_02.spr	9			0	1	50000000			4	1	equip	0	0	addphysicsdamage_p	100	125					addphysicsmagic_p	100	125					manareplenish_p	11	14					allseriesstateresisttime	55	75					allskill_v	2	2			1984																																					5	100										
Kim Lân Chi Giới +1	Nhẫn đồng hành_cấp 2	1	5	21	2	2	\image\item\partnerequip\ring\partner_ring_02_s.spr	\image\item\partnerequip\ring\partner_ring_02.spr	9			0	1	50000000			4	1	equip	0	0	addphysicsdamage_p	125	150					addphysicsmagic_p	125	150					manareplenish_p	14	17					allseriesstateresisttime	75	80																																															5	100										
Kim Lân Chi Giới +2	Nhẫn đồng hành_cấp 2	1	5	21	3	2	\image\item\partnerequip\ring\partner_ring_02_s.spr	\image\item\partnerequip\ring\partner_ring_02.spr	9			0	1	50000000			4	1	equip	0	0	addphysicsdamage_p	150	175					addphysicsmagic_p	150	175					manareplenish_p	17	20					allseriesstateresisttime	80	85																																															5	100										
Kim Lân Chi Giới +3	Nhẫn đồng hành_cấp 2	1	5	21	4	2	\image\item\partnerequip\ring\partner_ring_02_s.spr	\image\item\partnerequip\ring\partner_ring_02.spr	9			0	1	50000000			4	1	equip	0	0	addphysicsdamage_p	175	200					addphysicsmagic_p	175	200					manareplenish_p	20	23					allseriesstateresisttime	85	90																																															5	100										
Đơn Tâm Chi Giới	Nhẫn đồng hành_cấp 3	1	5	21	1	3	\image\item\partnerequip\ring\partner_ring_03_s.spr	\image\item\partnerequip\ring\partner_ring_03.spr	9			0	1	150000000			4	1	equip	0	0	addphysicsdamage_p	130	170					addphysicsmagic_p	130	170					manareplenish_p	23	27					allseriesstateresisttime	95	150					skilldamageptrim	1	3			1984		allskill_v	3	3			1984																														5	100										
Hào Hiệp Chi Giới	Nhẫn đồng hành_cấp 4	1	5	21	1	4	\image\item\partnerequip\ring\partner_ring_04_s.spr	\image\item\partnerequip\ring\partner_ring_04.spr	9			0	1	1500000000			4	1	equip	0	0	addphysicsdamage_p	170	250					addphysicsmagic_p	170	250					manareplenish_p	30	30					allseriesstateresisttime	150	200					skilldamageptrim	3	6					allskill_v	4	4			1984																														5	100										
Truyền Kỳ Chi Giới	Nhẫn đồng hành_cấp 5	1	5	21	1	5	\image\update2015\petnew\nhanpet5.spr	\image\update2015\petnew\nhanpet5_v.spr	9			0	1	2500000000			4	1	equip	0	0	addphysicsdamage_p	275	275					addphysicsmagic_p	275	275					manareplenish_p	40	40					allseriesstateresisttime	300	300					skilldamageptrim	8	8																																								5	100										
Thiên Cơ Chi Giới	Nhẫn đồng hành_cấp 6	1	5	21	1	6	\image\update2015\trangbipetnew\cap6\icon_nhan.spr	\image\update2015\trangbipetnew\cap6\view_nhan.spr	9			0	1	2500000000			4	1	equip	0	0	addphysicsdamage_p	295	295					addphysicsmagic_p	295	295					manareplenish_p	50	50					allseriesstateresisttime	400	400					skilldamageptrim	12	12																																								5	100										
Hào Hiệp Chi Giới	Nhẫn đồng hành_cấp 7	1	5	21	1	7	\image\update2015\trangbipetnew\cap7\icon_nhan.spr	\image\update2015\trangbipetnew\cap7\view_nhan.spr	9			0	1	2500000000			4	1	equip	0	0	addphysicsdamage_p	320	320					addphysicsmagic_p	320	320					manareplenish_p	60	60					allseriesstateresisttime	500	500					skilldamageptrim	14	14																																								5	100										
Bạch Kim Chi Giới	Nhẫn đồng hành_cấp 8	1	5	21	1	8	\image\update2015\trangbipetnew\cap8\icon_nhan.spr	\image\update2015\trangbipetnew\cap8\view_nhan.spr	9			0	1	2500000000			4	1	equip	0	0	addphysicsdamage_p	345	345					addphysicsmagic_p	345	345					manareplenish_p	70	70					allseriesstateresisttime	600	600					skilldamageptrim	16	16																																								5	100										
