Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value
Bích Huyết Chi Nhẫn	Vũ khí đồng hành_cấp 1	1	5	19	1	1	\image\item\partnerequip\weapon\partner_lv1_1_s.spr	\image\item\partnerequip\weapon\partner_lv1_1.spr	9			0	1	15000000			4	1	equip	0	0	damage_inc_p	7	7					lifemax_p	10	10					deadlystrikedamageenhance_p	15	15					allskill_v	1	1			1982	1982																																											5	100										
Kim Lân Chi Nhẫn	Vũ khí đồng hành_cấp 2	1	5	19	1	2	\image\item\partnerequip\weapon\partner_lv2_1_s.spr	\image\item\partnerequip\weapon\partner_lv2_1.spr	9			0	1	50000000			4	1	equip	0	0	damage_inc_p	12	12					lifemax_p	12	12					deadlystrikedamageenhance_p	20	20					allskill_v	2	2			1982	1982																																											5	100										
Kim Lân Chi Nhẫn +1	Vũ khí đồng hành_cấp 2	1	5	19	2	2	\image\item\partnerequip\weapon\partner_lv2_1_s.spr	\image\item\partnerequip\weapon\partner_lv2_1.spr	9			0	1	50000000			4	1	equip	0	0	damage_inc_p	15	15					lifemax_p	14	14					deadlystrikedamageenhance_p	25	25																																																						5	100										
Kim Lân Chi Nhẫn +2	Vũ khí đồng hành_cấp 2	1	5	19	3	2	\image\item\partnerequip\weapon\partner_lv2_1_s.spr	\image\item\partnerequip\weapon\partner_lv2_1.spr	9			0	1	50000000			4	1	equip	0	0	damage_inc_p	18	18					lifemax_p	16	16					deadlystrikedamageenhance_p	30	30																																																						5	100										
Kim Lân Chi Nhẫn +3	Vũ khí đồng hành_cấp 2	1	5	19	4	2	\image\item\partnerequip\weapon\partner_lv2_1_s.spr	\image\item\partnerequip\weapon\partner_lv2_1.spr	9			0	1	50000000			4	1	equip	0	0	damage_inc_p	21	21					lifemax_p	18	18					deadlystrikedamageenhance_p	35	35																																																						5	100										
Đơn Tâm Chi Nhẫn	Vũ khí đồng hành_cấp 3	1	5	19	1	3	\image\item\partnerequip\weapon\partner_lv3_1_s.spr	\image\item\partnerequip\weapon\partner_lv3_1.spr	9			0	1	150000000			4	1	equip	0	0	damage_inc_p	23	23					lifemax_p	21	21					deadlystrikedamageenhance_p	25	35					skilldamageptrim	1	3					allskill_v	3	3			1982	1982																																				5	100										
Hào Kiệt Chi Nhẫn	Vũ khí đồng hành_cấp 4	1	5	19	1	4	\image\item\partnerequip\weapon\partner_lv4_1_s.spr	\image\item\partnerequip\weapon\partner_lv4_1.spr	9			0	1	1500000000			4	1	equip	0	0	damage_inc_p	25	25					lifemax_p	30	30					deadlystrikedamageenhance_p	40	50					skilldamageptrim	3	6					allskill_v	4	4			1982	1982																										5	100																				
Truyền Kỳ Chi Nhẫn	Vũ khí đồng hành_cấp 5	1	5	19	1	5	\image\update2015\petnew\vukhipet5.spr	\image\update2015\petnew\vukhipet5_v.spr	9			0	1	1500000000			4	1	equip	0	0	damage_inc_p	40	40					lifemax_p	40	40					deadlystrikedamageenhance_p	50	50					skilldamageptrim	8	8																																					5	100																				
Thiên Cơ Chi Nhẫn	Vũ khí đồng hành_cấp 6	1	5	19	1	6	\image\update2015\trangbipetnew\cap6\icon_vukhi.spr	\image\update2015\trangbipetnew\cap6\view_vukhi.spr	9			0	1	1500000000			4	1	equip	0	0	damage_inc_p	50	50					lifemax_p	50	50					deadlystrikedamageenhance_p	60	60					skilldamageptrim	10	10																																															5	100										
Hào Hiệp Chi Nhẫn	Vũ khí đồng hành_cấp 7	1	5	19	1	7	\image\update2015\trangbipetnew\cap7\icon_vukhi.spr	\image\update2015\trangbipetnew\cap7\view_vukhi.spr	9			0	1	1500000000			4	1	equip	0	0	damage_inc_p	60	60					lifemax_p	60	60					deadlystrikedamageenhance_p	70	70					skilldamageptrim	11	11																																															5	100										
Bạch Kim Chi Nhẫn	Vũ khí đồng hành_cấp 8	1	5	19	1	8	\image\update2015\trangbipetnew\cap8\icon_vukhi.spr	\image\update2015\trangbipetnew\cap8\view_vukhi.spr	9			0	1	1500000000			4	1	equip	0	0	damage_inc_p	70	70					lifemax_p	70	70					deadlystrikedamageenhance_p	80	80					skilldamageptrim	12	12																																															5	100										
Cổ Long VK1	Vũ khí đồng hành_cấp 1	1	5	19	1	9	\image\item\partnerequip\weapon\partner_lv1_1_s.spr	\image\item\partnerequip\weapon\partner_lv1_1.spr	9			0	1	15000000			4	1	equip	0	0	damage_inc_p	7	7					lifemax_p	10	10					deadlystrikedamageenhance_p	15	15					skilldamageptrim	15	15																																															5	100										
