NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		53952	114848		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		53408	115264		1		
Xa Phu	0	7134	3	5	60	1	20	20	20	20	20	3		53216	115648		1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		54336	115360		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		60832	103968		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		60608	103968		1		
Xa Phu	0	7134	3	5	60	1	20	20	20	20	20	3		60416	104896		1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		61120	104448		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		61408	116384		1		
Trâu Đức Khoái	0	2599	3	5	60	1	20	20	20	20	20	3		61504	115744		1		
Xa Phu	0	7134	3	5	60	1	20	20	20	20	20	3		61120	116672		1		
Đại Lão Bạch	0	3566	3	5	60	1	20	20	20	20	20	1		62048	116192		1		
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		55424	115520				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		56224	115424				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		55808	114848				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		55808	116160				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		55968	107296				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		55488	106656				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		55936	105920				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		56448	106528				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		61728	109856				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		62208	109056				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		62720	109792				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		62208	110400				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		59104	114528				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		59616	113664				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		60160	114336				
Thủ Vệ Lý Khất Bộ	0	4631	0	5	60	1	20	20	20	20	20	1		59648	115136				
