NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
trap_join	1															\setting\map\map_info\chenchongzhen\trap\trap_join.txt			
trap_machine1	1															\setting\map\map_info\chenchongzhen\trap\trap_machine_1.txt			
trap_machine2	1															\setting\map\map_info\chenchongzhen\trap\trap_machine_2.txt			
trap_machine3	1															\setting\map\map_info\chenchongzhen\trap\trap_machine_3.txt			
trap_machine4	1															\setting\map\map_info\chenchongzhen\trap\trap_machine_4.txt			
trap_room2	1															\setting\map\map_info\chenchongzhen\trap\trap_enter_room2.txt			
trap_room3	1															\setting\map\map_info\chenchongzhen\trap\trap_enter_room3.txt			
trap_room4	1															\setting\map\map_info\chenchongzhen\trap\trap_enter_room4.txt			
trap_room5	1															\setting\map\map_info\chenchongzhen\trap\trap_enter_room5.txt			
trap_room5_trans	1															\setting\map\map_info\chenchongzhen\trap\trap_trans_room5.txt			
Người qua đường 1	0	4110	8	6	1	1	20	20	20	20	20	1		52672	99296				
Người qua đường 2	0	6042	8	6	1	1	20	20	20	20	20	1		52640	100064				
Người qua đường 3	0	6043	8	6	1	1	20	20	20	20	20	1		52320	100416				
Người qua đường 4	0	6044	8	6	1	1	20	20	20	20	20	1		52960	99040				
Người qua đường 5	0	6045	8	6	1	1	20	20	20	20	20	1		53152	98976				
Người qua đường 6	0	6047	8	6	1	1	20	20	20	20	20	1		52768	99712				
Người qua đường 7	0	6048	8	6	1	1	20	20	20	20	20	1		52960	99808				
Người qua đường 8	0	6052	8	6	1	1	20	20	20	20	20	1		52960	99392				
Người qua đường 9	0	6064	8	6	1	1	20	20	20	20	20	1		52864	100096				
Người qua đường 10	0	6067	8	6	1	1	20	20	20	20	20	1		52896	99616				
Người qua đường 11	0	6074	8	6	1	1	20	20	20	20	20	1		53120	101216				
Người qua đường 12	0	6075	8	6	1	1	20	20	20	20	20	1		53696	99136				
Người qua đường 13	0	6076	8	6	1	1	20	20	20	20	20	1		53344	99040				
Người qua đường 14	0	6083	8	6	1	1	20	20	20	20	20	1		53632	101248				
Người qua đường 15	0	6084	8	6	1	1	20	20	20	20	20	1		53376	100544				
Người qua đường 16	0	6085	8	6	1	1	20	20	20	20	20	1		53312	101152				
Người qua đường 17	0	6086	8	6	1	1	20	20	20	20	20	1		54016	100000				
Người qua đường 18	0	6089	8	6	1	1	20	20	20	20	20	1		54176	101216				
Người qua đường 19	0	6096	8	6	1	1	20	20	20	20	20	1		53952	100832				
Người qua đường 20	0	6100	8	6	1	1	20	20	20	20	20	1		54080	101056				
Người qua đường 21	0	6101	8	6	1	1	20	20	20	20	20	1		54752	99616				
Người qua đường 22	0	6102	8	6	1	1	20	20	20	20	20	1		54496	100352				
Người qua đường 23	0	6104	8	6	1	1	20	20	20	20	20	1		54304	100608				
Người qua đường 24	0	6105	8	6	1	1	20	20	20	20	20	1		54688	100768				
Người qua đường 25	0	9913	8	6	1	1	20	20	20	20	20	1		54368	100864				
Đường Hiểu Phong	0	9674	3	5	120	1	20	20	20	20	20	1		48256	106304				
Lộ Lộ Thông Thông	0	10024	3	5	120	1	20	20	20	20	20	1		48320	106144				
