TRAPX	TRAPY
55072	112128
52544	112032
52800	114336
49824	111616
52864	109024
55648	105344
52480	103712
54912	103136
54624	100576
57408	102080
52704	111456
53184	111936
52736	112384
52224	112032
56960	108384
58656	106656
60096	104992
59200	108896
59616	108448
59616	111136
61472	109280
63072	107616
62176	101824
63360	99968
64256	97024
62048	96768
60672	98848
64384	103552
66464	105120
68256	102272
65824	101216
67488	99072
64192	111200
62080	113920
63072	116704
65760	117120
67168	116576
69152	119328
66432	113504
50848	99104
57664	114208
57472	116960
55392	116832
57760	120448
60160	116672
