NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
star_trap_area_1	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_1.txt			
star_trap_area_2	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_2.txt			
star_trap_area_3	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_3.txt			
star_trap_area_4	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_4.txt			
star_trap_area_5	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_5.txt			
star_trap_area_6	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_6.txt			
star_trap_area_7	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_7.txt			
star_trap_area_8	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_8.txt			
star_trap_area_9	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_9.txt			
star_trap_area_10	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_10.txt			
star_trap_area_11	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_11.txt			
star_trap_area_12	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_12.txt			
star_trap_area_13	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_13.txt			
star_trap_area_14	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_14.txt			
star_trap_area_15	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_15.txt			
star_trap_area_16	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_16.txt			
star_trap_area_17	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_17.txt			
star_trap_area_18	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_18.txt			
star_trap_area_19	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_19.txt			
star_trap_area_20	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_20.txt			
star_trap_area_21	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_21.txt			
star_trap_area_22	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_22.txt			
star_trap_area_23	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_23.txt			
star_trap_area_24	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_24.txt			
star_trap_area_25	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_25.txt			
star_trap_area_26	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_26.txt			
star_trap_area_27	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_27.txt			
star_trap_area_28	1															\setting\map\map_info\sichouzhilu\trap\star_trap_area_28.txt			
