NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	3		66272	102304		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	1		63264	98720		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	3		66784	117920		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	1		62080	122912		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	3		51424	121024		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	1		47936	117216		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	3		48704	103136		1		
Xa Phu	0	2597	3	5	60	1	20	20	20	20	20	1		52096	99648		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		52320	101056		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		49088	104640		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		48896	117600		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		52384	121408		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		62368	121760		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		65824	118016		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		65632	104000		1		
Vào chiến trường	0	2525	4	5	1	1	20	20	20	20	20	1		62656	100576		1		
Khu chuẩn bị	0	2525	4	5	1	1	20	20	20	20	20	1		61216	106720		1		
Khu chuẩn bị	0	2525	4	5	1	1	20	20	20	20	20	1		53152	106784		1		
Khu chuẩn bị	0	2525	4	5	1	1	20	20	20	20	20	1		53056	114944		1		
Khu chuẩn bị	0	2525	4	5	1	1	20	20	20	20	20	1		61536	115200		1		
to_in	1															\setting\map\map_info\tiefucheng_new_3\trap\in.txt			
to_out	1															\setting\map\map_info\tiefucheng_new_3\trap\out.txt			
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		48800	118368		1		
Thủ Khố	0	2599	3	5	60	1	20	20	20	20	20	1		50752	121760		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		52256	122016		1		
Thủ Khố	0	2599	3	5	60	1	20	20	20	20	20	1		66752	103456		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		66432	103744		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		63584	99936		1		
Thủ Khố	0	2599	3	5	60	1	20	20	20	20	20	1		62688	99328		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		51296	100096		1		
Thủ Khố	0	2599	3	5	60	1	20	20	20	20	20	1		50976	100704		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		47648	104160		1		
Thủ Khố	0	2599	3	5	60	1	20	20	20	20	20	1		47904	103488		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		47264	118112		1		
Thủ Khố	0	2599	3	5	60	1	20	20	20	20	20	1		48320	118624		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		63200	121472		1		
Thủ Khố	0	2599	3	5	60	1	20	20	20	20	20	1		63456	122720		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		67072	118816		1		
Thủ Khố	0	2599	3	5	60	1	20	20	20	20	20	1		66176	119424		1		
Trương Trảm Kinh	0	3564	3	5	60	1	20	20	20	20	20	1		65792	103008		1		
