TRAPX	TRAPY
52896	114880
52928	114912
52928	114912
52960	114944
52992	114976
52992	114976
53024	115008
53056	115040
53088	115072
53120	115072
61472	115392
61504	115360
61536	115328
61568	115296
61632	115264
61664	115200
61696	115168
61440	106720
61408	106688
61376	106656
61344	106624
61312	106592
61280	106560
61248	106528
61216	106496
53216	106560
53216	106560
53184	106624
53152	106656
53088	106656
53056	106720
53024	106752
52992	106784
61216	106720
53152	106784
53056	114944
61536	115200
52960	114848
52992	114848
53024	114848
52992	114880
53056	114912
53088	114912
53088	114944
53088	114976
53088	115008
53120	115008
61120	106688
61120	106656
61472	115232
61664	115264
61568	115072
53248	106624
52864	115136
52960	114656
52992	114688
53024	114720
53024	114784
53056	107072
53056	107040
53088	107008
53088	106976
53120	106976
53152	106944
53344	106688
53312	106688
53280	106720
53280	106752
53248	106752
53248	106784
53216	106816
61024	106560
61056	106560
61056	106592
61088	106592
61120	106592
61120	106624
61152	106624
61184	106656
61184	106688
61216	106688
61376	106944
61344	106912
61344	106880
61312	106848
61280	106784
61280	106752
61280	106720
61248	106688
61376	115232
61440	115168
61472	115136
61472	115104
61504	115072
61536	115040
61568	115040
61600	115040
