TRAPX	TRAPY
52416	100960
52416	100992
52384	100992
52352	101024
52320	101088
52288	101120
52256	101152
52224	101184
52192	101216
49280	104576
49280	104576
49248	104608
49216	104608
49216	104640
49184	104640
49152	104672
49120	104704
49088	104736
49056	104768
49024	104800
48992	104832
48800	117408
48832	117440
48864	117472
48896	117504
48928	117536
48960	117600
48992	117632
49024	117664
49056	117696
52256	121216
52288	121248
52320	121280
52352	121312
52384	121344
52416	121376
52448	121408
52448	121440
52512	121472
52512	121504
52544	121536
62144	121856
62176	121792
62208	121728
62240	121696
62272	121664
62304	121632
62304	121632
62336	121600
62368	121568
62400	121536
62432	121504
65568	118208
65600	118176
65632	118176
65664	118112
65728	118080
65760	118048
65792	118016
65824	117984
65856	117920
65888	117888
65920	117856
65952	117792
65984	117792
65760	104224
65696	104160
65664	104128
65632	104096
65600	104064
65568	104032
65536	104000
65504	103968
65472	103968
65472	103968
62720	100928
62720	100896
62688	100864
62656	100832
62592	100800
62560	100768
62528	100704
62496	100672
62464	100640
62432	100576
62400	100576
52320	101056
49088	104640
48896	117600
52384	121408
62368	121760
65824	118016
65632	104000
62656	100576
65568	103904
65792	104192
65760	104160
65728	104160
48928	117728
48960	117728
62176	121984
62464	121696
62496	121568
53248	106624
48832	117472
48896	117376
48992	117440
49120	117536
48928	117568
48992	117824
48640	117536
48672	117536
48704	117536
48736	117568
48768	117568
48768	117600
48800	117600
48832	117632
48896	117632
48928	117664
48960	117664
52192	121280
52224	121280
52256	121312
52288	121312
52320	121344
52352	121376
52512	121632
52480	121600
52480	121568
52480	121536
52448	121504
52448	121472
52416	121472
52416	121440
62176	122048
62208	121984
62240	121952
62240	121920
62272	121888
62304	121856
62336	121824
62368	121792
62528	121632
62496	121664
62432	121760
62400	121760
62368	121792
66112	117856
66080	117888
66048	117952
66016	117952
65984	117984
65952	118016
65920	118016
65888	118016
65856	118016
65504	103776
65504	103808
65504	103840
65536	103872
65568	103872
65920	104192
65888	104160
65856	104160
65824	104160
65792	104128
65792	104096
65760	104096
65760	104064
65728	104064
65728	104032
65696	104032
65664	104400
65664	103968
62496	100384
62496	100416
62528	100448
62528	100480
62560	100512
62592	100544
62624	100544
62624	100576
62656	100608
62656	100640
62688	100672
62688	100704
62720	100704
62752	100736
62752	100768
62784	100800
62816	100800
62912	100736
49184	104320
49184	104352
49152	104384
49152	104416
49120	104448
49088	104480
49056	104544
49024	104576
49024	104608
48992	104640
48960	104672
48928	104672
48896	104704
