TRAPX	TRAPY
52416	100960
52416	100992
52384	100992
52352	101024
52320	101088
52288	101120
52256	101152
52224	101184
52192	101216
49280	104576
49280	104576
49248	104608
49216	104608
49216	104640
49184	104640
49152	104672
49120	104704
49088	104736
49056	104768
49024	104800
48992	104832
48800	117408
48832	117440
48864	117472
48896	117504
48928	117536
48960	117600
48992	117632
49024	117664
49056	117696
52256	121216
52288	121248
52320	121280
52352	121312
52384	121344
52416	121376
52448	121408
52448	121440
52512	121472
52512	121504
52544	121536
62144	121856
62176	121792
62208	121728
62240	121696
62272	121664
62304	121632
62304	121632
62336	121600
62368	121568
62400	121536
62432	121504
65568	118208
65568	118208
65600	118176
65632	118176
65664	118112
65728	118080
65760	118048
65792	118016
65824	117984
65856	117920
65888	117888
65920	117856
65952	117792
65984	117792
65760	104224
65696	104160
65664	104128
65632	104096
65600	104064
65568	104032
65536	104000
65504	103968
65472	103968
65472	103968
62720	100928
62720	100896
62688	100864
62656	100832
62592	100800
62560	100768
62528	100704
62496	100672
62464	100640
62432	100576
62400	100576
52320	101056
49088	104640
48896	117600
52384	121408
62368	121760
65824	118016
65632	104000
62656	100576
49024	117824
49024	117856
49024	117856
48992	117824
48960	117792
48896	117728
48864	117696
48832	117664
48800	117600
48768	117568
48832	117536
48864	117536
48928	117568
48960	117600
48992	117632
49024	117696
49024	117728
49056	117664
49056	117600
49056	117568
49056	117504
49024	117472
48960	117440
48928	117408
48896	117408
48928	117440
48960	117472
49024	117504
49056	117536
49056	117568
49088	117536
49056	117472
49024	117440
49024	117376
49024	117312
49024	117248
49088	117280
49120	117344
49120	117376
49184	117408
49216	117440
49280	117408
49248	117376
49216	117344
49184	117312
49120	117280
49120	117248
49088	117184
49056	117184
49024	117216
49024	117248
49024	117312
49056	117344
49120	117376
49152	117376
49216	117376
49248	117408
49280	117472
49216	117504
49184	117536
49120	117536
49088	117536
49056	117472
49024	117440
48960	117408
48928	117408
48896	117472
48928	117504
48960	117536
48992	117568
49056	117600
49056	117632
49056	117600
49088	117536
49152	117504
49184	117472
49216	117440
49280	117408
49312	117376
49376	117344
49344	117312
49280	117280
49248	117248
49216	117216
49184	117152
49152	117120
49152	117120
49152	117120
49216	117152
49248	117216
49280	117248
49312	117280
49376	117312
61824	121504
61824	121504
61856	121472
61888	121440
61952	121376
61984	121344
62016	121312
62048	121280
62080	121216
62112	121184
62144	121152
62144	121184
62112	121248
62080	121280
62048	121344
62016	121376
61984	121408
61952	121472
61920	121504
61920	121568
61888	121568
61920	121568
61952	121568
61984	121536
62048	121472
62080	121440
62112	121408
62144	121376
62208	121344
62240	121312
62272	121280
62304	121312
62304	121344
62272	121408
62240	121440
62208	121504
62176	121536
62144	121568
62112	121632
62048	121664
62016	121696
61984	121664
61984	121632
61920	121568
61920	121568
61888	121568
61952	121536
61984	121504
62016	121472
62080	121440
62112	121408
62176	121376
62208	121376
62272	121376
62336	121376
62368	121408
62336	121472
62272	121504
62240	121536
62208	121568
62176	121632
62144	121664
62080	121696
62048	121728
62016	121728
61984	121664
61984	121632
62048	121600
62080	121568
62112	121536
62176	121504
62208	121472
62240	121408
62304	121376
62336	121376
62368	121376
62368	121440
62368	121472
62336	121536
62272	121568
62240	121600
62208	121632
62176	121664
62112	121696
62080	121728
62016	121728
61984	121696
61984	121632
62048	121600
62080	121568
62112	121536
62144	121504
62208	121472
62240	121440
