ROUND	INDEX	CONSUME_ITEM	WAREID	JINGHUO	NAME	TYPE	VALUE	RATE	KINTONGMSG	FRIENDMSG	WORLDMSG	NEWRATE
轮数	奖励序列	需要消耗的道具	金币消耗需要的道具	所要精活	奖励名	奖励类型	奖励数值(item:g,d,p,l,num,bind;weiwang:n)	奖励概率				新手概率
1	1		0	0	绑定玄晶箱	item	18,1,2216,1,1,1	5600				7000
1	2		0	0	绑银箱	item	18,1,2217,1,1,1	1400				3000
1	3		0	0	江湖威望1点	weiwang	1	500				0
1	4		0	0	蒙尘的宝石	item	18,1,1317,1,2,1	500				0
1	5		0	0	游龙古币	item	18,1,553,1,5,1	2000				0
2	1	18,1,2226,1,1	676	4200	月影原石	item	22,1,91,2,10,1	46				0
2	2	18,1,2226,1,1	676	4200	真元银帖	item	18,1,2209,1,2,1	444				10000
2	3	18,1,2226,1,1	676	4200	10个和氏玉	item	22,1,81,1,10,1	3	1	1		0
2	4	18,1,2226,1,1	676	4200	游龙古币	item	18,1,553,1,15,1	9507				0
2	5	18,1,2226,1,1	676	4200	小游龙阁令牌箱	item	18,1,2199,1,1,1	3	1	1	1	0
3	1	18,1,2226,1,2	676	8400	游龙古币	item	18,1,553,1,20,1	4356				10000
3	2	18,1,2226,1,2	676	8400	游龙古币	item	18,1,553,1,30,1	4388	1	1		0
3	3	18,1,2226,1,2	676	8400	60个游龙古币	item	18,1,553,1,60,1	728	1	1		0
3	4	18,1,2226,1,2	676	8400	80个游龙古币	item	18,1,553,1,80,1	525	1	1		0
3	5	18,1,2226,1,2	676	8400	小游龙阁令牌箱	item	18,1,2199,1,1,1	3	1	1	1	0
