TEMP_MAP_ID	NORMAL_NPC_POS	JING_POS	BOSS_POS	STAR_POS	RAND_POS	RESCUE_POS	PICK_POS	PICK_BOSS_POS	PLAYER_ENTER_POS_X	PLAYER_ENTER_POS_Y
地图id	普通怪点	精英怪点	boss怪点	地芒阵点	奇遇boss点	读条对象点	小怪点	掉落小怪点	玩家进入点X	玩家进入点Y
2329	\setting\mission\qiancengtower\npc\2329\normal_pos.txt	\setting\mission\qiancengtower\npc\2329\jing_pos.txt	\setting\mission\qiancengtower\npc\2329\boss_pos.txt	\setting\mission\qiancengtower\npc\2329\star_pos.txt	\setting\mission\qiancengtower\npc\2329\rand_pos.txt	\setting\mission\qiancengtower\npc\2329\rescue_pos.txt	\setting\mission\qiancengtower\npc\2329\pick_pos.txt	\setting\mission\qiancengtower\npc\2329\pick_boss_pos.txt	1595	3189
2330	\setting\mission\qiancengtower\npc\2330\normal_pos.txt	\setting\mission\qiancengtower\npc\2330\jing_pos.txt	\setting\mission\qiancengtower\npc\2330\boss_pos.txt	\setting\mission\qiancengtower\npc\2330\star_pos.txt	\setting\mission\qiancengtower\npc\2330\rand_pos.txt	\setting\mission\qiancengtower\npc\2330\rescue_pos.txt	\setting\mission\qiancengtower\npc\2330\pick_pos.txt	\setting\mission\qiancengtower\npc\2330\pick_boss_pos.txt	1599	3346
2331	\setting\mission\qiancengtower\npc\2331\normal_pos.txt	\setting\mission\qiancengtower\npc\2331\jing_pos.txt	\setting\mission\qiancengtower\npc\2331\boss_pos.txt	\setting\mission\qiancengtower\npc\2331\star_pos.txt	\setting\mission\qiancengtower\npc\2331\rand_pos.txt	\setting\mission\qiancengtower\npc\2331\rescue_pos.txt	\setting\mission\qiancengtower\npc\2331\pick_pos.txt	\setting\mission\qiancengtower\npc\2331\pick_boss_pos.txt	1652	3279
2332	\setting\mission\qiancengtower\npc\2332\normal_pos.txt	\setting\mission\qiancengtower\npc\2332\jing_pos.txt	\setting\mission\qiancengtower\npc\2332\boss_pos.txt	\setting\mission\qiancengtower\npc\2332\star_pos.txt	\setting\mission\qiancengtower\npc\2332\rand_pos.txt	\setting\mission\qiancengtower\npc\2332\rescue_pos.txt	\setting\mission\qiancengtower\npc\2332\pick_pos.txt	\setting\mission\qiancengtower\npc\2332\pick_boss_pos.txt	1578	3260
2333	\setting\mission\qiancengtower\npc\2333\normal_pos.txt	\setting\mission\qiancengtower\npc\2333\jing_pos.txt	\setting\mission\qiancengtower\npc\2333\boss_pos.txt	\setting\mission\qiancengtower\npc\2333\star_pos.txt	\setting\mission\qiancengtower\npc\2333\rand_pos.txt	\setting\mission\qiancengtower\npc\2333\rescue_pos.txt	\setting\mission\qiancengtower\npc\2333\pick_pos.txt	\setting\mission\qiancengtower\npc\2333\pick_boss_pos.txt	1609	3196
2334	\setting\mission\qiancengtower\npc\2334\normal_pos.txt	\setting\mission\qiancengtower\npc\2334\jing_pos.txt	\setting\mission\qiancengtower\npc\2334\boss_pos.txt	\setting\mission\qiancengtower\npc\2334\star_pos.txt	\setting\mission\qiancengtower\npc\2334\rand_pos.txt	\setting\mission\qiancengtower\npc\2334\rescue_pos.txt	\setting\mission\qiancengtower\npc\2334\pick_pos.txt	\setting\mission\qiancengtower\npc\2334\pick_boss_pos.txt	1550	3234
2335	\setting\mission\qiancengtower\npc\2335\normal_pos.txt	\setting\mission\qiancengtower\npc\2335\jing_pos.txt	\setting\mission\qiancengtower\npc\2335\boss_pos.txt	\setting\mission\qiancengtower\npc\2335\star_pos.txt	\setting\mission\qiancengtower\npc\2335\rand_pos.txt	\setting\mission\qiancengtower\npc\2335\rescue_pos.txt	\setting\mission\qiancengtower\npc\2335\pick_pos.txt	\setting\mission\qiancengtower\npc\2335\pick_boss_pos.txt	1560	3235
2336	\setting\mission\qiancengtower\npc\2336\normal_pos.txt	\setting\mission\qiancengtower\npc\2336\jing_pos.txt	\setting\mission\qiancengtower\npc\2336\boss_pos.txt	\setting\mission\qiancengtower\npc\2336\star_pos.txt	\setting\mission\qiancengtower\npc\2336\rand_pos.txt	\setting\mission\qiancengtower\npc\2336\rescue_pos.txt	\setting\mission\qiancengtower\npc\2336\pick_pos.txt	\setting\mission\qiancengtower\npc\2336\pick_boss_pos.txt	1578	3238
2337	\setting\mission\qiancengtower\npc\2337\normal_pos.txt	\setting\mission\qiancengtower\npc\2337\jing_pos.txt	\setting\mission\qiancengtower\npc\2337\boss_pos.txt	\setting\mission\qiancengtower\npc\2337\star_pos.txt	\setting\mission\qiancengtower\npc\2337\rand_pos.txt	\setting\mission\qiancengtower\npc\2337\rescue_pos.txt	\setting\mission\qiancengtower\npc\2337\pick_pos.txt	\setting\mission\qiancengtower\npc\2337\pick_boss_pos.txt	1611	3153
2338	\setting\mission\qiancengtower\npc\2338\normal_pos.txt	\setting\mission\qiancengtower\npc\2338\jing_pos.txt	\setting\mission\qiancengtower\npc\2338\boss_pos.txt	\setting\mission\qiancengtower\npc\2338\star_pos.txt	\setting\mission\qiancengtower\npc\2338\rand_pos.txt	\setting\mission\qiancengtower\npc\2338\rescue_pos.txt	\setting\mission\qiancengtower\npc\2338\pick_pos.txt	\setting\mission\qiancengtower\npc\2338\pick_boss_pos.txt	1645	3238
