ROUND	MAPX	MAPY	TRAP_NAME
1	1582	3189	star_trap_area_1
1	1583	3194	star_trap_area_2
1	1587	3181	star_trap_area_3
1	1584	3184	star_trap_area_4
1	1596	3179	star_trap_area_5
1	1591	3179	star_trap_area_6
1	1599	3186	star_trap_area_7
1	1587	3195	star_trap_area_8
1	1596	3196	star_trap_area_9
1	1591	3197	star_trap_area_10
1	1587	3189	star_trap_area_11
1	1590	3186	star_trap_area_12
1	1594	3184	star_trap_area_13
1	1592	3192	star_trap_area_14
1	1596	3190	star_trap_area_15
1	1588	3201	star_trap_area_16
1	1595	3202	star_trap_area_17
1	1599	3201	star_trap_area_18
1	1603	3199	star_trap_area_19
1	1605	3195	star_trap_area_20
1	1606	3190	star_trap_area_21
1	1604	3186	star_trap_area_22
1	1600	3180	star_trap_area_23
1	1601	3192	star_trap_area_24
