ROUND	MAPX	MAPY
1	1567	3155
1	1571	3159
1	1583	3179
1	1597	3158
1	1587	3181
1	1602	3153
1	1615	3199
1	1607	3175
1	1607	3182
1	1611	3203
1	1630	3203
1	1633	3200
1	1574	3158
1	1593	3153
1	1585	3176
1	1604	3178
1	1611	3199
1	1628	3210
2	1581	3138
2	1573	3166
2	1577	3169
2	1585	3136
2	1593	3158
2	1599	3162
2	1593	3180
2	1596	3186
2	1611	3189
2	1616	3187
2	1619	3204
2	1624	3206
2	1579	3157
2	1576	3174
2	1596	3162
2	1592	3189
2	1613	3185
2	1622	3202
3	1571	3140
3	1579	3157
3	1581	3186
3	1587	3168
3	1589	3170
3	1599	3180
3	1587	3191
3	1609	3163
3	1613	3165
3	1603	3187
3	1621	3192
3	1625	3195
3	1582	3133
3	1583	3191
3	1591	3167
3	1601	3184
3	1613	3170
3	1619	3198
