ROOM_RANK	TEMP_MAP_ID	ROOM_TYPE	NORMAL_NPC	NORMAL_NUM	NORMAL_LEVEL	JING_NPC	JING_NUM	JING_LEVEL	BOSS_NPC	BOSS_NUM	BOSS_LEVEL	STAR_NPC	STAR_NUM	STAR_FINISH_NUM	STAR_DAMAGE1	STAR_DAMAGE1_NUM	STAR_DAMAGE2	STAR_DAMAGE2_NUM	STAR_BUFF_NPC	STAR_BUFF_NPC_NUM	BOX_NPC	BOX_NPC_NUM	PICK_NPC	PICK_NPC_NUM	PICK_BOSS	PICK_BOSS_NUM	NPC_LEVEL
关卡层数	关卡地图id	关卡类型（1、杀怪关卡，2、地芒阵、3、采集箱子）	小怪npc	小怪数量	小怪等级	精英npc	精英数量	精英等级	bossNpc	boss数量	boss等级	心形点	心形点数量	采集点完成数	地芒阵伤害1npc	伤害1个数	地芒阵伤害2npc	伤害2个数	特效npc	特效npc个数	读条怪	读条怪数量	小怪	小怪数量	掉落钥匙怪	掉落钥匙怪数量	npc等级
1	2329	1	11441	24	61																						
2	2329	1	11442	24	62																						
3	2329	3										11282	12	18	11283	4	11284	3	11285	1							4
4	2329	1	11441	4	61	11443	2	64																			
5	2329	1	11442	4	62	11444	2	65	11445	1	65																
6	2329	1	11446	24	66																						
7	2329	1	11447	24	67																						
8	2329	4																			11589	3	11449	6	11448	3	61
9	2329	1	11446	4	66	11450	2	69																			
10	2329	1	11447	4	67	11451	2	70	11452	1	70																
11	2330	1	11453	24	61																						
12	2330	1	11454	24	62																						
13	2330	3										11282	12	18	11283	6	11284	3	11285	1							4
14	2330	1	11453	4	61	11455	2	64																			
15	2330	1	11454	4	62	11456	2	65	11457	1	65																
16	2330	1	11458	24	66																						
17	2330	1	11459	24	67																						
18	2330	4																			11590	3	11461	6	11460	3	61
19	2330	1	11458	4	66	11462	2	69																			
20	2330	1	11459	4	67	11463	2	70	11464	1	70																
21	2331	1	11465	32	91																						
22	2331	1	11466	32	92																						
23	2331	3										11282	12	27	11283	9	11284	4	11285	1							5
24	2331	1	11465	24	91	11467	3	94																			
25	2331	1	11466	24	92	11468	3	95	11469	1	95																
26	2331	1	11470	32	96																						
27	2331	1	11471	32	97																						
28	2331	4																			11591	4	11473	8	11472	4	91
29	2331	1	11470	24	96	11474	3	99																			
30	2331	1	11471	24	97	11475	3	100	11476	1	100																
31	2332	1	11477	32	91																						
32	2332	1	11478	32	92																						
33	2332	3										11282	12	27	11283	9	11284	4	11285	1							5
34	2332	1	11477	24	91	11479	3	94																			
35	2332	1	11478	24	92	11480	3	95	11481	1	95																
36	2332	1	11482	32	96																						
37	2332	1	11483	32	97																						
38	2332	4																			11592	4	11485	8	11484	4	91
39	2332	1	11482	24	96	11486	3	99																			
40	2332	1	11483	24	97	11487	3	100	11488	1	100																
41	2333	1	11489	32	101																						
42	2333	1	11490	32	102																						
43	2333	3										11282	12	27	11283	9	11284	4	11285	1							5
44	2333	1	11489	24	101	11491	3	104																			
45	2333	1	11490	24	102	11492	3	105	11493	1	105																
46	2333	1	11494	32	106																						
47	2333	1	11495	32	107																						
48	2333	4																			11593	4	11497	8	11496	4	101
49	2333	1	11494	24	106	11498	3	109																			
50	2333	1	11495	24	107	11499	3	110	11500	1	110																
51	2334	1	11501	32	111																						
52	2334	1	11502	32	112																						
53	2334	3										11282	12	27	11283	9	11284	4	11285	1							5
54	2334	1	11501	24	111	11503	3	114																			
55	2334	1	11502	24	112	11504	3	115	11505	1	115																
56	2334	1	11506	32	116																						
57	2334	1	11507	32	117																						
58	2334	4																			11594	4	11509	8	11508	4	111
59	2334	1	11506	24	116	11510	3	119																			
