Money	BindMoney	Genre	Detail	Particular	Level	RandRate	LuckyRate	Name
		18	1	114	3	60000		2Ό¶ΠώΎ§
		18	1	114	4	60000		3Ό¶ΠώΎ§
		18	1	114	5	10000		4Ό¶ΠώΎ§
		18	1	114	6	1000		5Ό¶ΠώΎ§
		1	1	1	9	2000		TrienThu
		1	1	2	9	1600		Kiem
		1	1	3	9	1600		Dao
		1	1	4	9	2000		Bong
		1	1	5	9	3200		Thuong
		1	1	6	9	3200		chuy
		1	2	2	9	3200		Phidao
		1	2	3	9	3200		TuTien
		1	1	1	7	2000		TrienThu
		1	1	2	7	1600		Kiem
		1	1	3	7	1600		Dao
		1	1	4	7	2000		Bong
		1	1	5	7	3200		Thuong
		1	1	6	7	3200		chuy
		1	2	2	7	3200		Phidao
		1	2	3	7	3200		TuTien
		1	1	1	8	2000		TrienThu
		1	1	2	8	1600		Kiem
		1	1	3	8	1600		Dao
		1	1	4	8	2000		Bong
		1	1	5	8	3200		Thuong
		1	1	6	8	3200		chuy
		1	2	2	8	3200		Phidao
		1	2	3	8	3200		TuTien
		1	1	1	10	1600		TrienThu
		1	1	2	10	1000		Kiem
		1	1	3	10	1000		Dao
		1	1	4	10	1600		Bong
		1	1	5	10	1600		Thuong
		1	1	6	10	1600		chuy
		1	2	2	10	1600		Phidao
		1	2	3	10	1600		TuTien
		1	1	1	9	2000		TrienThu
		1	1	2	9	1600		Kiem
		1	1	3	9	1600		Dao
		1	1	4	9	2000		Bong
		1	1	5	9	3200		Thuong
		1	1	6	9	3200		chuy
		1	2	2	9	3200		Phidao
		1	2	3	9	3200		TuTien
		1	1	1	7	2000		TrienThu
		1	1	2	7	1600		Kiem
		1	1	3	7	1600		Dao
		1	1	4	7	2000		Bong
		1	1	5	7	3200		Thuong
		1	1	6	7	3200		chuy
		1	2	2	7	3200		Phidao
		1	2	3	7	3200		TuTien
		1	1	1	8	2000		TrienThu
		1	1	2	8	1600		Kiem
		1	1	3	8	1600		Dao
		1	1	4	8	2000		Bong
		1	1	5	8	3200		Thuong
		1	1	6	8	3200		chuy
		1	2	2	8	3200		Phidao
		1	2	3	8	3200		TuTien
		1	1	1	10	1600		TrienThu
		1	1	2	10	1000		Kiem
		1	1	3	10	1000		Dao
		1	1	4	10	1600		Bong
		1	1	5	10	1600		Thuong
		1	1	6	10	1600		chuy
		1	2	2	10	1600		Phidao
		1	2	3	10	1600		TuTien
