G	D	P	L	UnBindValue	BindValue	Name
18	1	1	1	80	80	Huyền 1
18	1	1	2	288	288	Huyền 2
18	1	1	3	1037	1037	Huyền 3
18	1	1	4	50000	50000	Huyền 4
18	1	1	5	150000	150000	Huyền 5
18	1	1	6	450000	450000	Huyền 6
18	1	1	7	1350000	1350000	Huyền 7
18	1	1	8	4050000	4050000	Huyền 8
18	1	1	9	12150000	12150000	Huyền 9
18	1	114	1	80	80	Huyền 1
18	1	114	2	288	288	Huyền 2
18	1	114	3	1037	1037	Huyền 3
18	1	114	4	50000	50000	Huyền 4
18	1	114	5	150000	150000	Huyền 5
18	1	114	6	450000	450000	Huyền 6
18	1	114	7	1350000	1350000	Huyền 7
18	1	114	8	4050000	4050000	Huyền 8
18	1	114	9	12150000	12150000	Huyền 9
18	1	205	1	150	150	Ngũ Hành Hồn Thạch
18	1	118	2	1500000	1500000	Thỏi vàng (đại)
18	1	118	1	150000	150000	Thỏi vàng
